id_table,nm_table,nm_column_csv,nm_column,tp_column,is_key_column,is_date_column,fmt_date
1,DRV_ANAG,DRV_COD,DRV_COD,string,1,,
1,DRV_ANAG,SOCIETA,,string,,,
1,DRV_ANAG,DRV_TYP_1,DRV_TYP_1,string,,,
1,DRV_ANAG,DRV_TYP_2,DRV_TYP_2,string,,,
1,DRV_ANAG,DRV_TYP_3,,string,,,
1,DRV_ANAG,DRV_TYP_4,,string,,,
1,DRV_ANAG,DRV_TYP_5,,string,,,
1,DRV_ANAG,DRV_DSC,DRV_DSC,string,1,,
2,DRV_VAL,Month,DATE_RIF,string,1,1,%Y%m
2,DRV_VAL,DRV_COD,DRV_COD,string,,,
2,DRV_VAL,VALUE,VALUE,float64,,,
3,ECO_ANAG,ECO_COD,ECO_COD,string,1,,
3,ECO_ANAG,SOCIETA,,string,,,
3,ECO_ANAG,ECO_MIR,ECO_GRP_0,string,,,
3,ECO_ANAG,ECO_GRP_1,ECO_GRP_1,string,,,
3,ECO_ANAG,ECO_GRP_2,ECO_GRP_2,string,,,
3,ECO_ANAG,ECO_GRP_3,,string,,,
3,ECO_ANAG,ECO_GRP_4,,string,,,
3,ECO_ANAG,ECO_GRP_5,,string,,,
3,ECO_ANAG,ECO_DSC,ECO_DSC,string,,,
4,ECO_VAL,Month,DATE_RIF,string,1,1,%Y%m
4,ECO_VAL,ECO_COD,ECO_COD,string,,,
4,ECO_VAL,VALUE,VALUE,float64,,,
5,ECO_DRV_RULES,ECO_MIR,ECO_GRP_0,string,1,1,
5,ECO_DRV_RULES,ECO_GRP_1,ECO_GRP_1,string,1,,
5,ECO_DRV_RULES,ECO_GRP_2,ECO_GRP_2,string,1,,
5,ECO_DRV_RULES,ECO_GRP_3,,string,,,
5,ECO_DRV_RULES,ECO_GRP_4,,string,,,
5,ECO_DRV_RULES,ECO_GRP_5,,string,,,
5,ECO_DRV_RULES,DRV_COD,DRV_COD,string,1,,
5,ECO_DRV_RULES,SOCIETA,,string,,,
6,ECO_BUDGET,MONTH_FORECAST,DATE_RIF,string,1,1,%Y%m
6,ECO_BUDGET,ECO_COD,ECO_COD,string,,,
6,ECO_BUDGET,VALUE_FORECAST,VALUE_BUDGET,float64,,,
21,DRV_ANAG,DRV_COD,DRV_COD,string,1,,
21,DRV_ANAG,DRV_TYP_2,DRV_TYP_2,string,,,
22,DRV_VAL,MONTH,DATE_RIF,string,1,1,%b.%y
22,DRV_VAL,DRV_COD,DRV_COD,string,,,
22,DRV_VAL,VALUE,VALUE,float64,,,
23,ECO_ANAG,ECO_COD,ECO_COD,string,1,,
23,ECO_ANAG,ECO_DSC,ECO_DSC,string,,,
23,ECO_ANAG,ECO_GRP_0,ECO_GRP_0,string,,,
23,ECO_ANAG,ECO_GRP_1,ECO_GRP_1,string,,,
23,ECO_ANAG,ECO_GRP_2,ECO_GRP_2,string,,,
24,ECO_VAL,MONTH,DATE_RIF,string,1,1,%b.%y
24,ECO_VAL,ECO_COD,ECO_COD,string,,,
24,ECO_VAL,VALUE,VALUE,float64,,,
25,ECO_DRV_RULES,ECO_GRP_0,ECO_GRP_0,string,1,1,
25,ECO_DRV_RULES,ECO_GRP_1,ECO_GRP_1,string,1,,
25,ECO_DRV_RULES,DRV_COD,DRV_COD,string,1,,
26,DRV_ANAG_ESO,DRV_COD,DRV_COD,string,1,,
27,DRV_VAL_ESO,MONTH,DATE_RIF,string,1,1,%Y%m
27,DRV_VAL_ESO,DRV_COD,DRV_COD,string,,,
27,DRV_VAL_ESO,VALUE,VALUE,float64,,,
