"Month";"DRV_COD";"VALUE"
"201401";"236_FON_F_NCALT";"-34220890,38"
"201401";"236_FON_F_NCAZ";"-2803146,17"
"201401";"236_FON_F_NCPR";"-31417744,21"
"201401";"236_FON_F_NGALT";"-14660364476"
"201401";"236_FON_F_NGAZ";"-9098613342"
"201401";"236_FON_F_NGNC";"-403886802,1"
"201401";"236_FON_F_NGPR";"-5157864332"
"201401";"236_FON_F_NTALT";"-44268951,32"
"201401";"236_FON_F_NTAZ";"-2575867,47"
"201401";"236_FON_F_NTPR";"-41693083,85"
"201401";"236_FON_F_PCALT";"51467472,3"
"201401";"236_FON_F_PCAZ";"2450001,69"
"201401";"236_FON_F_PCPR";"49017470,61000001"
"201401";"236_FON_F_PGALT";"14624751645"
"201401";"236_FON_F_PGAZ";"9064296288"
"201401";"236_FON_F_PGNC";"419408263"
"201401";"236_FON_F_PGPR";"5141047094"
"201401";"236_FON_F_PTALT";"71311111,45"
"201401";"236_FON_F_PTAZ";"1635361,22"
"201401";"236_FON_F_PTPR";"69675750,22999999"
"201401";"236_FON_S_CALT";"1225837469"
"201401";"236_FON_S_CAZ";"48696583,24"
"201401";"236_FON_S_CPR";"1177140886"
"201401";"236_FON_S_TALT";"1122640709"
"201401";"236_FON_S_TAZ";"37490758,56"
"201401";"236_FON_S_TPR";"1085149950"
"201401";"236_VITA_A_REDDCONTOTUO";"0,029"
"201402";"236_FON_F_NCALT";"-30197414,37"
"201402";"236_FON_F_NCAZ";"-2593823,905"
"201402";"236_FON_F_NCPR";"-27603590,47"
"201402";"236_FON_F_NGALT";"-21276064483"
"201402";"236_FON_F_NGAZ";"-8011576150"
"201402";"236_FON_F_NGNC";"-338151102,3"
"201402";"236_FON_F_NGPR";"-12926337230"
"201402";"236_FON_F_NTALT";"-54042840,27"
"201402";"236_FON_F_NTAZ";"-1911825,05"
"201402";"236_FON_F_NTPR";"-52131015,22"
"201402";"236_FON_F_PCALT";"48575780,1"
"201402";"236_FON_F_PCAZ";"3133893,025"
"201402";"236_FON_F_PCPR";"45441887,08"
"201402";"236_FON_F_PGALT";"21292623656"
"201402";"236_FON_F_PGAZ";"8010241224"
"201402";"236_FON_F_PGNC";"349751787,3"
"201402";"236_FON_F_PGPR";"12932630644"
"201402";"236_FON_F_PTALT";"70872781,47"
"201402";"236_FON_F_PTAZ";"2427285,36"
"201402";"236_FON_F_PTPR";"68445496,11"
"201402";"236_FON_S_CALT";"1254945277"
"201402";"236_FON_S_CAZ";"49532474,62"
"201402";"236_FON_S_CPR";"1205412802"
"201402";"236_FON_S_TALT";"1154177772"
"201402";"236_FON_S_TAZ";"38433345,58"
"201402";"236_FON_S_TPR";"1115744426"
"201402";"236_VITA_A_REDDCONTOTUO";"0,029"
"201403";"236_FON_F_NCALT";"-32845589,88"
"201403";"236_FON_F_NCAZ";"-1545063,695"
"201403";"236_FON_F_NCPR";"-31300526,19"
"201403";"236_FON_F_NGALT";"-14310704145"
"201403";"236_FON_F_NGAZ";"-8483068083"
"201403";"236_FON_F_NGNC";"-366049699"
"201403";"236_FON_F_NGPR";"-5461586363"
"201403";"236_FON_F_NTALT";"-39586526,26"
"201403";"236_FON_F_NTAZ";"-1017865,545"
"201403";"236_FON_F_NTPR";"-38568660,72"
"201403";"236_FON_F_PCALT";"49533441,59"
