"DRV_COD";"SOCIETA";"DRV_TYP_1";"DRV_TYP_2";"DRV_TYP_3";"DRV_TYP_4";"DRV_TYP_5";"DRV_DSC"
"236_CONS_S_FEEONLY";"236";"CONS";"S";"_";"_";"_";"Fee Only"
"236_CONS_S_NOCONS";"236";"CONS";"S";"_";"_";"_";"No Consulenza"
"236_CONS_S_ONTOP";"236";"CONS";"S";"_";"_";"_";"On Top"
"236_DNF_M_DE0000000065";"236";"DONOTFORECAST";"M";"_";"_";"_";"Collocamento BTP"
"236_EL_G_DE0000000000";"236";"EL";"G";"_";"_";"_";"POS_Scontrino medio internazionale"
"236_EL_G_DE0000000005";"236";"EL";"G";"_";"_";"_";"ECOMMERCE_Scontrino medio internazionale"
"236_EL_G_DE0000000010";"236";"EL";"G";"_";"_";"_";"ISSUING_Scontrino medio internazionale"
"236_EL_G_DE0000000015";"236";"EL";"G";"_";"_";"_";"POS_Scontrino medio pagobancomat"
"236_EL_G_DE0000000020";"236";"EL";"G";"_";"_";"_";"ISSUING_Scontrino medio pagobancomat"
"236_EL_G_DE0000000075";"236";"EL";"G";"_";"_";"_";"ISSUING_Scheme Fee (CC) di cui da ALTRI COSTI CIRCUITI VARIABILI"
"236_EL_G_DR0000001060";"236";"EL";"G";"_";"_";"_";"POS_Transato (CC)"
"236_EL_G_DR0000001065";"236";"EL";"G";"_";"_";"_";"POS_Merchant Fee (CC)"
"236_EL_G_DR0000001070";"236";"EL";"G";"_";"_";"_";"POS_Interchange Fee (CC)"
"236_EL_G_DR0000001078";"236";"EL";"G";"_";"_";"_";"POS_Scheme Fee (CC) di cui da COSTO CIRCUITI"
"236_EL_G_DR0000001079";"236";"EL";"G";"_";"_";"_";"POS_Scheme Fee (CC) di cui da ALTRI COSTI CIRCUITI VARIABILI"
"236_EL_G_DR0000001080";"236";"EL";"G";"_";"_";"_";"POS_Transato (PAGOBANCOMAT)"
"236_EL_G_DR0000001085";"236";"EL";"G";"_";"_";"_";"POS_Merchant Fee (PAGOBANCOMAT)"
"236_EL_G_DR0000001090";"236";"EL";"G";"_";"_";"_";"POS_Interchange Fee (PAGOBANCOMAT)"
"236_EL_G_DR0000001095";"236";"EL";"G";"_";"_";"_";"POS_Scheme Fee (PAGOBANCOMAT)"
"236_EL_G_DR0000005015";"236";"EL";"G";"_";"_";"_";"ECOMMERCE_Transato"
"236_EL_G_DR0000005020";"236";"EL";"G";"_";"_";"_";"ECOMMERCE_Merchant Fee"
"236_EL_G_DR0000005025";"236";"EL";"G";"_";"_";"_";"ECOMMERCE_Interchange Fee"
"236_EL_G_DR0000005038";"236";"EL";"G";"_";"_";"_";"ECOMMERCE_Scheme Fee di cui da COSTO CIRCUITI"
"236_EL_G_DR0000005039";"236";"EL";"G";"_";"_";"_";"ECOMMERCE_Scheme Fee di cui da ALTRI COSTI CIRCUITI VARIABILI"
"236_EL_G_DR0000006038";"236";"EL";"G";"_";"_";"_";"ISSUING_Transato totale (nazionale + internazionale Banca Sella + Cartalis)"
"236_EL_G_DR0000006055";"236";"EL";"G";"_";"_";"_";"ISSUING_Transato nazionale"
