"Month";"ECO_COD";"VALUE"
"201601";"236_020_0040_1000000000097";"14441,24"
"201601";"236_020_0040_1000000000120";"1664,11"
"201601";"236_020_0040_1000000000152";"1610"
"201601";"236_020_0040_1000000000159";"4392,77"
"201601";"236_020_0040_1000000005110";"6223,37"
"201601";"236_020_0040_10C3000000044";"60705,6249"
"201601";"236_020_0040_10C3000000311";"269056,6"
"201601";"236_020_0040_10C3000000312";"103307,7715"
"201601";"236_020_0040_10C3000000413";"29362,366"
"201601";"236_020_0040_10C3000009407";"60331,5"
"201601";"236_020_0040_10P1000000101";"9615,71"
"201601";"236_020_0040_1200000000017";"5112"
"201601";"236_020_0040_2200000000017";"-143845,3"
"201601";"236_020_0040_2200000000217";"-30112,34"
"201601";"236_020_0040_2200000001017";"-134910,48"
"201601";"236_020_0040_22D5000005100";"-6223,37"
"201601";"236_020_0043_0800000000405";"406,54"
"201601";"236_020_0043_1000000000010";"9933"
"201601";"236_020_0043_1000000000119";"37653,16"
"201601";"236_020_0043_1000000000120";"47779,85"
"201601";"236_020_0043_1000000000159";"24571,13"
"201601";"236_020_0043_10C3000000301";"10627,23"
"201601";"236_020_0043_10C3000000307";"136257,32"
"201601";"236_020_0043_10C3000000308";"26238,53062"
"201601";"236_020_0043_10C3000000311";"18782,36"
"201601";"236_020_0043_10C3000000312";"9526,948772"
"201601";"236_020_0043_10C3000000412";"176674,932"
"201601";"236_020_0043_10C3000000413";"91291,623"
"201601";"236_020_0043_1200000000017";"96888,33"
"201601";"236_020_0043_2300000000014";"-1758,75"
"201601";"236_020_0043_2300000000015";"-15055,25"
"201601";"236_020_0043_2300000000110";"-37618,17"
"201601";"236_020_0043_2300000005214";"-6999,49"
"201601";"236_020_0045_1000000000042";"133333,33"
"201601";"236_020_0045_1000000000059";"13745,9"
"201601";"236_020_0045_10P1000000193";"49,51"
"201601";"236_020_0045_2200000009030";"-16886,24"
"201601";"236_020_0045_2200000009031";"-22644,34"
"201601";"236_020_0045_22D5000000003";"-412,7"
"201601";"236_020_0045_22D5000000004";"-336"
"201601";"236_020_0050_10B4000001040";"8911"
"201601";"236_020_0050_10B4000001041";"30923"
"201601";"236_020_0050_10B4000001048";"27196"
"201601";"236_020_0050_10B4000001055";"21787"
"201601";"236_020_0050_10B4000001057";"637169"
"201601";"236_020_0050_10B4000001059";"788324"
"201601";"236_020_0050_10D5000000016";"6564"
"201601";"236_020_0050_22D5000000019";"-825"
"201601";"236_020_0055_GP";"646280,64"
"201601";"236_020_0060_10B4000000105";"7564,09"
"201601";"236_020_0060_10B4000000106";"7843,19"
"201601";"236_020_0060_10B4000000107";"2923,26"
"201601";"236_020_0060_10B4000000111";"3584,26"
"201601";"236_020_0060_10B4000000279";"98781,2"
"201601";"236_020_0060_10B4000001181";"77427,48"
"201601";"236_020_0060_10B4000001189";"10918"
"201601";"236_020_0060_10B4000001190";"3531,81"
"201601";"236_020_0060_10B4000001192";"146801,44"
"201601";"236_020_0060_10B4000001197";"10794,13"
"201601";"236_020_0060_10B4000002185";"24425,33"
"201601";"236_020_0060_10B4000005178";"76609,31"
"201601";"236_020_0065_2500000000013";"47540"
"201601";"236_020_0070_0800000000368";"75334"
"201601";"236_020_0070_0800000000432";"140211,84"
"201601";"236_020_0070_0800000000437";"147158,81"
"201601";"236_020_0070_0800000001378";"80669,86"
"201601";"236_020_0070_0800000002378";"116657,58"
"201601";"236_020_0070_2811000000644";"-1258,516393"
