"ECO_COD";"SOCIETA";"ECO_MIR";"ECO_GRP_1";"ECO_GRP_2";"ECO_GRP_3";"ECO_GRP_4";"ECO_GRP_5";"ECO_DSC"
"236_040_0120_1000000000330";"236";"040";"0120";"_";"_";"_";"_";"COMMISSIONI SEGNALAZIONE PARTNERS BANCA SELLA -TRACE"
"236_020_0043_1000000000386";"236";"020";"0043";"_";"_";"_";"_";"COMMISSIONI ATTIVE RTO NON DEPOSITANTI PER SIM SOTTO SOGLIA"
"236_020_0065_1000000000427";"236";"020";"0065";"_";"_";"_";"_";"COMPENSO SEGNALAZIONE CLIENTI PER RACCOLTA DI CAPITALI TRAMITE PORTALI ONLINE"
"236_020_0043_1000000003640";"236";"020";"0043";"_";"_";"_";"_";"COMMISSIONI RICEZ.TRASM.ORDINI PER SIM - DIFFERENZA STIMA BILANCIO ANNO PREC"
"236_040_0115_POS_10C2000000065";"236";"040";"0115";"POS";"_";"_";"_";"SUCCESS FEE TRANSATO ACQUIRING ECOMMERCE E POS_POS"
"236_020_0050_10D5000000016";"236";"020";"0050";"_";"_";"_";"_";"COMMISSIONI ATTIVE PER SEGNALAZIONE SIP ALLE SOCIETA'' PRODOTTO"
"236_040_0115_POS_10D5000000087";"236";"040";"0115";"POS";"_";"_";"_";"ATTIVAZIONE POS AXERVE_POS"
"236_040_0115_ATM_10D5000007065";"236";"040";"0115";"ATM";"_";"_";"_";"CANONE ATTIVO - ATM_ATM"
"236_040_0115_CAR_10P1000000031";"236";"040";"0115";"CAR";"_";"_";"_";"ASSISTENZA CLIENTI - TOT_CAR"
"236_040_0115_CAR_10P1000002640";"236";"040";"0115";"CAR";"_";"_";"_";"TOT - ASSISTENZA CLIENTI - DIFFERENZA STIMA BILANCIO ANNO PREC_CAR"
"236_040_0115_CAR_10P2000000010";"236";"040";"0115";"CAR";"_";"_";"_";"CORRISPETTIVI PER OBBLIGHI CONTRATTI TOT - VARIABILE CARTE_CAR"
"236_040_0115_CAR_2200000000059";"236";"040";"0115";"CAR";"_";"_";"_";"COMMISSIONI PASSIVE PRELIEVI CONTANTI TOT_CAR"
"236_020_0045_2200000004608";"236";"020";"0045";"_";"_";"_";"_";"COMM CUSTODIA ED AMMINISTRAZIONE TITOLI"
"236_020_0043_22D5000000161";"236";"020";"0043";"_";"_";"_";"_";"COMMISSIONI PASSIVE RETROCESSIONE RICEZIONE TRASMISSIONE ORDINI SIM vs BPS"
"236_040_0115_POS_22D5000000300";"236";"040";"0115";"POS";"_";"_";"_";"COMMISSIONI PASS ACQUIRING POS ECOMMERCE FBK_POS"
"236_040_0110_22D5000000301";"236";"040";"0110";"_";"_";"_";"_";"COMMISSIONI PASS RETROCESS SELLA CASH FBK"
