MONTH_FORECAST;ECO_COD;VALUE_FORECAST
202601;236_020_0040_0800000000008;4511.0
202601;236_020_0040_1000000000097;8569.95
202601;236_020_0040_1000000000120;5863.65
202601;236_020_0040_1000000000152;902.1
202601;236_020_0040_1000000000159;1804.2
202601;236_020_0040_1000000005110;11727.3
202601;236_020_0040_1000000005111;4510.5
202601;236_020_0040_10C1000000709;5145.45
202601;236_020_0040_10C3000000035;589830.49
202601;236_020_0040_10C3000000044;210495.63
202601;236_020_0040_10C3000000311;112264.34
202601;236_020_0040_10C3000000312;135652.74
202601;236_020_0040_10C3000000413;46776.81
202601;236_020_0040_10C3000009407;145008.1
202601;236_020_0040_10P1000000101;7667.85
202601;236_020_0040_1200000000017;28867.2
202601;236_020_0040_2200000000017;-220107.0
202601;236_020_0040_2200000000217;-45370.0
202601;236_020_0040_2200000001017;-130649.0
202601;236_020_0040_22D5000005100;-21238.0
202601;236_020_0043_0800000000405;-1804.2
202601;236_020_0043_1000000000010;24356.7
202601;236_020_0043_1000000000061;180.42
202601;236_020_0043_1000000000119;32024.55
202601;236_020_0043_1000000000120;23454.6
202601;236_020_0043_1000000000159;21650.4
202601;236_020_0043_1000000000240;335154.07
202601;236_020_0043_1000000000385;225.53
202601;236_020_0043_1000000000440;8.33333333333333e-05
202601;236_020_0043_10C1000000709;19846.190000000002
202601;236_020_0043_10C3000000301;1453.87
202601;236_020_0043_10C3000000307;79046.310053
202601;236_020_0043_10C3000000308;47246.070374
202601;236_020_0043_10C3000000311;4997.18
202601;236_020_0043_10C3000000312;8177.2
202601;236_020_0043_10C3000000412;215787.3406652
202601;236_020_0043_10C3000000413;48154.6486527
202601;236_020_0043_1200000000017;36084.0
202601;236_020_0043_22D5000000161;-2100.0
202601;236_020_0043_2300000000014;-1560.0
202601;236_020_0043_2300000000015;-63547.0
202601;236_020_0043_2300000000032;-6301.74
202601;236_020_0043_2300000000110;-167587.0
202601;236_020_0043_2300000005214;-13531.5
202601;236_020_0045_1000000000042;91666.67
202601;236_020_0045_1000000000059;14000.0
202601;236_020_0045_1000000000273;59926.17
202601;236_020_0045_1000000000350;1083.33333333333
202601;236_020_0045_1000000000476;3000.0
202601;236_020_0045_1000000000726;125.0
202601;236_020_0045_10P1000000193;83.33
202601;236_020_0045_2200000004608;-568.67
202601;236_020_0045_2200000009030;-36800.0
202601;236_020_0045_2200000009031;-52065.0
202601;236_020_0045_22D5000000003;-850.0
202601;236_020_0045_22D5000000004;-750.0
202601;236_020_0045_22D5000000458;-3583.33333
202601;236_020_0045_22F2000000065;8.33333333333333e-05
202601;236_020_0050_10B4000000015;8.33333333333333e-05
202601;236_020_0050_10B4000000016;-5833.33
202601;236_020_0050_10B4000000027;2916.67
202601;236_020_0050_10B4000001040;11500.0
202601;236_020_0050_10B4000001041;120632.69
