"ECO_MIR";"ECO_GRP_1";"ECO_GRP_2";"ECO_GRP_3";"ECO_GRP_4";"ECO_GRP_5";"DRV_COD";"SOCIETA"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_AZ";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000025";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000030";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000035";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000040";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000045";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000050";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000055";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DE0000000060";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002100";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002105";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002125";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002130";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002140";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002145";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002150";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002155";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002160";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002165";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002175";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_DR0000002180";"236"
"040";"0110";"_";"_";"_";"_";"236_TRAD_G_PR";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DE0000000000";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DE0000000005";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DE0000000010";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DE0000000015";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DE0000000020";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DE0000000075";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001060";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001065";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001070";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001078";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001079";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001080";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001085";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001090";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000001095";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000005015";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000005020";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000005025";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000005038";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000005039";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006038";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006055";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006085";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006092";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006100";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006105";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006165";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006166";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006190";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006191";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006192";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006195";"236"
"040";"0115";"POS";"_";"_";"_";"236_EL_G_DR0000006196";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DE0000000000";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DE0000000005";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DE0000000010";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DE0000000015";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DE0000000020";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DE0000000075";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001060";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001065";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001070";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001078";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001079";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001080";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001085";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001090";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000001095";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000005015";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000005020";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000005025";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000005038";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000005039";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006038";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006055";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006085";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006092";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006100";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006105";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006165";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006166";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006190";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006191";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006192";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006195";"236"
"040";"0115";"ATM";"_";"_";"_";"236_EL_G_DR0000006196";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DE0000000000";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DE0000000005";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DE0000000010";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DE0000000015";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DE0000000020";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DE0000000075";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DR0000001060";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DR0000001065";"236"
"040";"0115";"CAR";"_";"_";"_";"236_EL_G_DR0000001070";"236"
