MONTH;DRV_COD;VALUE
Gen.20;Accantonato del mese nuovi oneri;30000.0
Gen.20;Numero Cause;6.0
Gen.20;Intervento consulenti esterni gestione atti liti fiscali;0.11246183848999618
Gen.20;Importo complessivo di domanda cause pendenti;47540.0
Gen.20;Oneri cause passive e rischio operativo;3589.7
Gen.20;Costo parcelle su importo complessivo domanda;0.08
Gen.20;Costo Medio Cause;598.28
Gen.20;Oneri spese legali al netto degli accantomenti;-156700.0
Feb.20;Importo complessivo di domanda cause pendenti;695053.0
Feb.20;Numero Cause;6.0
Feb.20;Intervento consulenti esterni gestione atti liti fiscali;0.10451293671580839
Feb.20;Oneri cause passive e rischio operativo;21467.82
Feb.20;Costo parcelle su importo complessivo domanda;0.03
Feb.20;Accantonato del mese nuovi oneri;40000.0
Feb.20;Costo Medio Cause;3577.97
Feb.20;Oneri spese legali al netto degli accantomenti;-73720.0
Mar.20;Oneri spese legali al netto degli accantomenti;-11148.4
Mar.20;Costo parcelle su importo complessivo domanda;0.04
Mar.20;Numero Cause;8.0
Mar.20;Intervento consulenti esterni gestione atti liti fiscali;0.09626731790328291
Mar.20;Accantonato del mese nuovi oneri;34457.75991235474
Mar.20;Oneri cause passive e rischio operativo;10257.6
Mar.20;Costo Medio Cause;1282.2
Mar.20;Importo complessivo di domanda cause pendenti;284188.0
Apr.20;Numero Cause;2.0
Apr.20;Costo Medio Cause;1014.1
Apr.20;Accantonato del mese nuovi oneri;33262.511123422664
Apr.20;Importo complessivo di domanda cause pendenti;75998.0
Apr.20;Oneri cause passive e rischio operativo;2028.2
Apr.20;Costo parcelle su importo complessivo domanda;0.03
Apr.20;Intervento consulenti esterni gestione atti liti fiscali;0.08865116568973537
Apr.20;Oneri spese legali al netto degli accantomenti;-8096.8
Mag.20;Importo complessivo di domanda cause pendenti;606437.0
Mag.20;Oneri spese legali al netto degli accantomenti;-49071.28
Mag.20;Accantonato del mese nuovi oneri;43217.0
Mag.20;Costo Medio Cause;2675.84
Mag.20;Oneri cause passive e rischio operativo;13379.2
Mag.20;Numero Cause;5.0
Mag.20;Costo parcelle su importo complessivo domanda;0.02
Mag.20;Intervento consulenti esterni gestione atti liti fiscali;0.08051865396233883
Giu.20;Numero Cause;3.0
Giu.20;Costo parcelle su importo complessivo domanda;0.72
Giu.20;Intervento consulenti esterni gestione atti liti fiscali;0.07394142448463203
Giu.20;Oneri spese legali al netto degli accantomenti;-18097.88
Giu.20;Importo complessivo di domanda cause pendenti;137907.0
Giu.20;Costo Medio Cause;33167.76
Giu.20;Oneri cause passive e rischio operativo;99503.28
Giu.20;Accantonato del mese nuovi oneri;7500.0
Lug.20;Numero Cause;2.0
Lug.20;Intervento consulenti esterni gestione atti liti fiscali;0.06537013839780832
Lug.20;Oneri spese legali al netto degli accantomenti;-54486.24
Lug.20;Costo Medio Cause;15798.95
Lug.20;Oneri cause passive e rischio operativo;31597.9
Lug.20;Accantonato del mese nuovi oneri;112700.0
Lug.20;Importo complessivo di domanda cause pendenti;81900.0
Lug.20;Costo parcelle su importo complessivo domanda;0.34
Ago.20;Numero Cause;4.087784251129386
Ago.20;Costo parcelle su importo complessivo domanda;23992.26
Ago.20;Costo Medio Cause;29992.26
Ago.20;Accantonato del mese nuovi oneri;60413.1901378356
Ago.20;Oneri spese legali al netto degli accantomenti;6000.0
Ago.20;Importo complessivo di domanda cause pendenti;1250861.9267539168
Ago.20;Intervento consulenti esterni gestione atti liti fiscali;0.057560801826765956
Ago.20;Oneri cause passive e rischio operativo;29992.26
Set.20;Costo Medio Cause;8862.27
Set.20;Importo complessivo di domanda cause pendenti;745452.0
Set.20;Oneri cause passive e rischio operativo;44311.37
Set.20;Accantonato del mese nuovi oneri;130000.0
Set.20;Costo parcelle su importo complessivo domanda;0.06
Set.20;Intervento consulenti esterni gestione atti liti fiscali;0.04701389423793322
Set.20;Oneri spese legali al netto degli accantomenti;-338237.6
Set.20;Numero Cause;5.0
Ott.20;Oneri cause passive e rischio operativo;10190.65
Ott.20;Importo complessivo di domanda cause pendenti;16605708.0
Ott.20;Oneri spese legali al netto degli accantomenti;100380.0
Ott.20;Costo Medio Cause;3396.88
Ott.20;Costo parcelle su importo complessivo domanda;0.0
Ott.20;Intervento consulenti esterni gestione atti liti fiscali;0.045086475772408076
Ott.20;Numero Cause;3.0
Ott.20;Accantonato del mese nuovi oneri;66534.86826854417
Nov.20;Accantonato del mese nuovi oneri;51229.488433206025
Nov.20;Costo parcelle su importo complessivo domanda;0.58
Nov.20;Intervento consulenti esterni gestione atti liti fiscali;0.04247308122734061
Nov.20;Importo complessivo di domanda cause pendenti;54000.0
Nov.20;Oneri spese legali al netto degli accantomenti;-21684.45
Nov.20;Oneri cause passive e rischio operativo;31230.77
Nov.20;Numero Cause;2.0
Nov.20;Costo Medio Cause;15615.38
Dic.20;Oneri spese legali al netto degli accantomenti;-27955.74
Dic.20;Accantonato del mese nuovi oneri;41983.86531517017
Dic.20;Numero Cause;6.0
Dic.20;Importo complessivo di domanda cause pendenti;2765748.0
Dic.20;Costo Medio Cause;10436.75
Dic.20;Intervento consulenti esterni gestione atti liti fiscali;0.0408574089874952
Dic.20;Costo parcelle su importo complessivo domanda;0.02
Dic.20;Oneri cause passive e rischio operativo;62620.53
Gen.21;Oneri cause passive e rischio operativo;10830.08
Gen.21;Costo parcelle su importo complessivo domanda;0.09
Gen.21;Oneri spese legali al netto degli accantomenti;-4400.0
Gen.21;Numero Cause;4.0
Gen.21;Accantonato del mese nuovi oneri;0.0
Gen.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Gen.21;Importo complessivo di domanda cause pendenti;39498.0
Gen.21;Costo Medio Cause;2707.52
Feb.21;Costo parcelle su importo complessivo domanda;0.01
Feb.21;Oneri spese legali al netto degli accantomenti;-65900.0
Feb.21;Importo complessivo di domanda cause pendenti;209930.0
Feb.21;Numero Cause;5.0
Feb.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Feb.21;Oneri cause passive e rischio operativo;3871.75
Feb.21;Accantonato del mese nuovi oneri;0.0
Feb.21;Costo Medio Cause;774.35
Mar.21;Numero Cause;3.0
Mar.21;Oneri spese legali al netto degli accantomenti;-195950.0
Mar.21;Costo Medio Cause;26840.61
Mar.21;Costo parcelle su importo complessivo domanda;0.16
Mar.21;Oneri cause passive e rischio operativo;80521.82
Mar.21;Importo complessivo di domanda cause pendenti;507790.0
Mar.21;Accantonato del mese nuovi oneri;13200.0
Mar.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Apr.21;Importo complessivo di domanda cause pendenti;68372.0
Apr.21;Numero Cause;5.0
Apr.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Apr.21;Accantonato del mese nuovi oneri;0.0
Apr.21;Oneri spese legali al netto degli accantomenti;-54142.29
Apr.21;Costo parcelle su importo complessivo domanda;0.03
Apr.21;Costo Medio Cause;71.97
Apr.21;Oneri cause passive e rischio operativo;359.83
Mag.21;Numero Cause;1.0
Mag.21;Intervento consulenti esterni gestione atti liti fiscali;1.0
Mag.21;Accantonato del mese nuovi oneri;0.0
Mag.21;Importo complessivo di domanda cause pendenti;58603.0
Mag.21;Oneri spese legali al netto degli accantomenti;-77794.47
Mag.21;Costo Medio Cause;289953.64
Mag.21;Costo parcelle su importo complessivo domanda;4.95
Mag.21;Oneri cause passive e rischio operativo;289953.64
Giu.21;Oneri spese legali al netto degli accantomenti;-59734.77
Giu.21;Costo parcelle su importo complessivo domanda;0.0
Giu.21;Oneri cause passive e rischio operativo;55586.18
Giu.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Giu.21;Costo Medio Cause;27793.09
Giu.21;Accantonato del mese nuovi oneri;0.0
Giu.21;Importo complessivo di domanda cause pendenti;18809738.0
Giu.21;Numero Cause;2.0
Lug.21;Costo parcelle su importo complessivo domanda;0.0
Lug.21;Costo Medio Cause;8635.09
Lug.21;Intervento consulenti esterni gestione atti liti fiscali;2.0
Lug.21;Numero Cause;5.0
Lug.21;Importo complessivo di domanda cause pendenti;11966725.0
Lug.21;Oneri cause passive e rischio operativo;43175.46
Lug.21;Accantonato del mese nuovi oneri;3000.0
Lug.21;Oneri spese legali al netto degli accantomenti;-47134.2
Ago.21;Oneri spese legali al netto degli accantomenti;-414877.65326614346
Ago.21;Numero Cause;5.0
Ago.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Ago.21;Oneri cause passive e rischio operativo;47500.332208302905
Ago.21;Costo parcelle su importo complessivo domanda;17119.41587094036
Ago.21;Accantonato del mese nuovi oneri;19171.025371602205
Ago.21;Costo Medio Cause;32393.274754222803
Ago.21;Importo complessivo di domanda cause pendenti;175902.0
Set.21;Oneri spese legali al netto degli accantomenti;-47301.4
Set.21;Importo complessivo di domanda cause pendenti;64707.0
Set.21;Oneri cause passive e rischio operativo;60030.2
Set.21;Costo parcelle su importo complessivo domanda;0.94
Set.21;Accantonato del mese nuovi oneri;22858.44451613701
Set.21;Costo Medio Cause;15007.55
Set.21;Intervento consulenti esterni gestione atti liti fiscali;0.0
Set.21;Numero Cause;4.0
Ott.21;Accantonato del mese nuovi oneri;24941.357875583315
Ott.21;Intervento consulenti esterni gestione atti liti fiscali;0.07789698757249688
Ott.21;Importo complessivo di domanda cause pendenti;484.0
Ott.21;Oneri spese legali al netto degli accantomenti;-15800.0
Ott.21;Numero Cause;2.0
Ott.21;Oneri cause passive e rischio operativo;25696.84
Ott.21;Costo Medio Cause;12848.42
Ott.21;Costo parcelle su importo complessivo domanda;53.09
Nov.21;Accantonato del mese nuovi oneri;26487.36216074681
Nov.21;Oneri cause passive e rischio operativo;66706.58
Nov.21;Intervento consulenti esterni gestione atti liti fiscali;0.036892068073579275
Nov.21;Costo Medio Cause;8338.32
Nov.21;Oneri spese legali al netto degli accantomenti;-6091.3
Nov.21;Importo complessivo di domanda cause pendenti;900370.0
Nov.21;Numero Cause;8.0
Nov.21;Costo parcelle su importo complessivo domanda;0.07
Dic.21;Oneri spese legali al netto degli accantomenti;-129705.05
Dic.21;Importo complessivo di domanda cause pendenti;1336267.1553330433
Dic.21;Costo parcelle su importo complessivo domanda;74909.86
Dic.21;Intervento consulenti esterni gestione atti liti fiscali;0.05001157338073829
Dic.21;Numero Cause;3.5643206143701196
Dic.21;Costo Medio Cause;84422.65
Dic.21;Accantonato del mese nuovi oneri;27430.509148894977
Dic.21;Oneri cause passive e rischio operativo;84422.65
Gen.22;Intervento consulenti esterni gestione atti liti fiscali;0.0457188322847341
Gen.22;Costo parcelle su importo complessivo domanda;0.35
Gen.22;Accantonato del mese nuovi oneri;27829.769894478606
Gen.22;Importo complessivo di domanda cause pendenti;34324.0
Gen.22;Costo Medio Cause;3073.07
Gen.22;Oneri spese legali al netto degli accantomenti;-57004.0
Gen.22;Oneri cause passive e rischio operativo;9219.2
Gen.22;Numero Cause;3.0
Feb.22;Oneri cause passive e rischio operativo;40248.7
Feb.22;Accantonato del mese nuovi oneri;28780.000921708564
Feb.22;Intervento consulenti esterni gestione atti liti fiscali;0.053561579220800105
Feb.22;Costo parcelle su importo complessivo domanda;0.05
Feb.22;Costo Medio Cause;5749.81
Feb.22;Oneri spese legali al netto degli accantomenti;-123300.0
Feb.22;Numero Cause;7.0
Feb.22;Importo complessivo di domanda cause pendenti;889905.0
Mar.22;Costo Medio Cause;8301.25
Mar.22;Oneri cause passive e rischio operativo;58108.74
Mar.22;Accantonato del mese nuovi oneri;29314.855542224832
Mar.22;Costo parcelle su importo complessivo domanda;0.78
Mar.22;Intervento consulenti esterni gestione atti liti fiscali;0.05711403107428504
Mar.22;Oneri spese legali al netto degli accantomenti;-14480.85
Mar.22;Numero Cause;7.0
Mar.22;Importo complessivo di domanda cause pendenti;74448.0
Apr.22;Costo parcelle su importo complessivo domanda;0.33
Apr.22;Oneri cause passive e rischio operativo;33713.72
Apr.22;Numero Cause;5.0
Apr.22;Accantonato del mese nuovi oneri;4520.0
Apr.22;Intervento consulenti esterni gestione atti liti fiscali;0.06156317941264212
Apr.22;Importo complessivo di domanda cause pendenti;117600.0
Apr.22;Oneri spese legali al netto degli accantomenti;-101993.41
Apr.22;Costo Medio Cause;6742.74
Mag.22;Intervento consulenti esterni gestione atti liti fiscali;0.05947691523623734
Mag.22;Oneri cause passive e rischio operativo;8898.23
Mag.22;Costo parcelle su importo complessivo domanda;0.33
Mag.22;Oneri spese legali al netto degli accantomenti;-476470.0
Mag.22;Numero Cause;4.0
Mag.22;Importo complessivo di domanda cause pendenti;27020.0
Mag.22;Costo Medio Cause;2224.56
