DRV_COD;MONTH;VALUE
Euribor 3M;202001;-0.406
Euribor 3M;202002;-0.406
Euribor 3M;202003;-0.406
Euribor 3M;202004;-0.301
Euribor 3M;202005;-0.301
Euribor 3M;202006;-0.301
Euribor 3M;202007;-0.472
Euribor 3M;202008;-0.472
Euribor 3M;202009;-0.472
Euribor 3M;202010;-0.523
Euribor 3M;202011;-0.523
Euribor 3M;202012;-0.523
Euribor 3M;202101;-0.542
Euribor 3M;202102;-0.542
Euribor 3M;202103;-0.542
Euribor 3M;202104;-0.54
Euribor 3M;202105;-0.54
Euribor 3M;202106;-0.54
Euribor 3M;202107;-0.546
Euribor 3M;202108;-0.546
Euribor 3M;202109;-0.546
Euribor 3M;202110;-0.566
Euribor 3M;202111;-0.566
Euribor 3M;202112;-0.566
Euribor 3M;202201;-0.529
Euribor 3M;202202;-0.529
Euribor 3M;202203;-0.529
Euribor 3M;202204;-0.358
Euribor 3M;202205;-0.358
Euribor 3M;202206;-0.358
Euribor 3M;202207;0.477
Euribor 3M;202208;0.477
Euribor 3M;202209;0.477
Euribor 3M;202210;1.85
Euribor 3M;202211;1.85
Euribor 3M;202212;1.85
Euribor 3M;202301;2.345
Euribor 3M;202302;2.64
Euribor 3M;202303;2.911
Euribor 3M;202304;3.179
Euribor 3M;202305;3.372
Euribor 3M;202306;3.536
Euribor 3M;202307;3.672
Euribor 3M;202308;3.78
Euribor 3M;202309;3.88
Euribor 3M;202310;3.968
Euribor 3M;202311;3.972
Euribor 3M;202312;3.935
Euribor 3M;202401;3.925
Euribor 3M;202402;3.923
Euribor 3M;202403;3.923
Euribor 3M;202404;3.885
Euribor 3M;202405;3.813
Euribor 3M;202406;3.725
Euribor 3M;202407;3.685
Euribor 3M;202408;3.548
Euribor 3M;202409;3.434
Euribor 3M;202410;3.167
Euribor 3M;202411;3.007
Euribor 3M;202412;2.825
Euribor 3M;202501;2.71
Euribor 3M;202502;2.53
Euribor 3M;202503;2.44
Euribor 3M;202504;2.25
Euribor 3M;202505;2.09
Euribor 3M;202506;1.98
Euribor 3M;202507;1.99
Euribor 3M;202508;2.02
Euribor 3M;202509;2.03
Eurostoxx 50;202001;2786.9
Eurostoxx 50;202002;2786.9
Eurostoxx 50;202003;2786.9
Eurostoxx 50;202004;3234.07
Eurostoxx 50;202005;3234.07
Eurostoxx 50;202006;3234.07
Eurostoxx 50;202007;3193.61
Eurostoxx 50;202008;3193.61
Eurostoxx 50;202009;3193.61
Eurostoxx 50;202010;3552.64
Eurostoxx 50;202011;3552.64
Eurostoxx 50;202012;3552.64
Eurostoxx 50;202101;3919.21
Eurostoxx 50;202102;3919.21
Eurostoxx 50;202103;3919.21
Eurostoxx 50;202104;4064.3
Eurostoxx 50;202105;4064.3
Eurostoxx 50;202106;4064.3
Eurostoxx 50;202107;4048.08
Eurostoxx 50;202108;4048.08
Eurostoxx 50;202109;4048.08
Eurostoxx 50;202110;4298.41
Eurostoxx 50;202111;4298.41
Eurostoxx 50;202112;4298.41
Eurostoxx 50;202201;3902.52
Eurostoxx 50;202202;3902.52
Eurostoxx 50;202203;3902.52
Eurostoxx 50;202204;3454.86
Eurostoxx 50;202205;3454.86
Eurostoxx 50;202206;3454.86
Eurostoxx 50;202207;3368.528
Eurostoxx 50;202208;3368.528
Eurostoxx 50;202209;3368.528
Eurostoxx 50;202210;3282.195
Eurostoxx 50;202211;3282.195
Eurostoxx 50;202212;3282.195
Eurostoxx 50;202301;4315.05
Eurostoxx 50;202302;4315.05
Eurostoxx 50;202303;4315.05
Eurostoxx 50;202304;4399.09
Eurostoxx 50;202305;4399.09
Eurostoxx 50;202306;4399.09
Eurostoxx 50;202307;4174.66
