DRV_COD;MONTH;VALUE
10Y ITA;202001;1.249
10Y ITA;202002;1.249
10Y ITA;202003;1.249
10Y ITA;202004;1.617
10Y ITA;202005;1.617
10Y ITA;202006;1.617
10Y ITA;202007;1.017
10Y ITA;202008;1.017
10Y ITA;202009;1.017
10Y ITA;202010;0.658
10Y ITA;202011;0.658
10Y ITA;202012;0.658
10Y ITA;202101;0.622
10Y ITA;202102;0.622
10Y ITA;202103;0.622
10Y ITA;202104;0.863
10Y ITA;202105;0.863
10Y ITA;202106;0.863
10Y ITA;202107;0.669
10Y ITA;202108;0.669
10Y ITA;202109;0.669
10Y ITA;202110;0.969
10Y ITA;202111;0.969
10Y ITA;202112;0.969
10Y ITA;202201;1.647
10Y ITA;202202;1.647
10Y ITA;202203;1.647
10Y ITA;202204;2.987
10Y ITA;202205;2.987
10Y ITA;202206;2.987
10Y ITA;202207;3.546
10Y ITA;202208;3.546
10Y ITA;202209;3.546
10Y ITA;202210;4.300
10Y ITA;202211;4.300
10Y ITA;202212;4.300
10Y ITA;202301;4.090
10Y ITA;202302;4.271
10Y ITA;202303;4.246
10Y ITA;202304;4.211
10Y ITA;202305;4.223
10Y ITA;202306;4.076
10Y ITA;202307;4.163
10Y ITA;202308;4.235
10Y ITA;202309;4.494
10Y ITA;202310;4.833
10Y ITA;202311;4.425
10Y ITA;202312;3.801
10Y ITA;202401;3.811
10Y ITA;202402;3.875
10Y ITA;202403;3.674
10Y ITA;202404;3.866
10Y ITA;202405;3.845
10Y ITA;202406;3.945
10Y ITA;202407;3.821
10Y ITA;202408;3.631
10Y ITA;202409;3.560
10Y ITA;202410;3.505
10Y ITA;202411;3.560
10Y ITA;202412;3.801
10Y ITA;202501;3.811
10Y ITA;202502;3.875
10Y ITA;202503;3.674
10Y ITA;202504;3.866
10Y ITA;202505;3.845
10Y ITA;202506;3.945
10Y ITA;202507;3.821
10Y ITA;202508;3.631
10Y ITA;202509;3.560
€STR;202001;-0.537
€STR;202002;-0.537
€STR;202003;-0.537
€STR;202004;-0.541
€STR;202005;-0.541
€STR;202006;-0.541
€STR;202007;-0.552
€STR;202008;-0.552
€STR;202009;-0.552
€STR;202010;-0.556
€STR;202011;-0.556
€STR;202012;-0.556
€STR;202101;-0.564
€STR;202102;-0.564
€STR;202103;-0.564
€STR;202104;-0.565
€STR;202105;-0.565
€STR;202106;-0.565
€STR;202107;-0.568
€STR;202108;-0.568
€STR;202109;-0.568
€STR;202110;-0.574
€STR;202111;-0.574
€STR;202112;-0.574
€STR;202201;-0.578
€STR;202202;-0.578
€STR;202203;-0.578
€STR;202204;-0.584
€STR;202205;-0.584
€STR;202206;-0.584
€STR;202207;0.035
€STR;202208;0.035
€STR;202209;0.035
€STR;202210;1.617
€STR;202211;1.617
€STR;202212;1.617
€STR;202301;1.902
€STR;202302;2.275
€STR;202303;2.572
€STR;202304;2.900
€STR;202305;3.080
€STR;202306;3.238
€STR;202307;3.402
€STR;202308;3.642
€STR;202309;3.747
€STR;202310;3.901
€STR;202311;3.902
€STR;202312;3.902
€STR;202401;3.904
€STR;202402;3.907
€STR;202403;3.907
€STR;202404;3.908
€STR;202405;3.907
€STR;202406;3.749
€STR;202407;3.663
€STR;202408;3.663
€STR;202409;3.557
€STR;202410;3.338
€STR;202411;3.164
€STR;202412;3.064
€STR;202501;2.919
€STR;202502;2.691
€STR;202503;2.499
€STR;202504;2.341
€STR;202505;2.169
€STR;202506;2.007
€STR;202507;1.922
€STR;202508;1.924
€STR;202509;1.925
Consumi privati - Italia (% a/a);202001;-7.093
Consumi privati - Italia (% a/a);202002;-7.093
Consumi privati - Italia (% a/a);202003;-7.093
Consumi privati - Italia (% a/a);202004;-17.972
Consumi privati - Italia (% a/a);202005;-17.972
Consumi privati - Italia (% a/a);202006;-17.972
Consumi privati - Italia (% a/a);202007;-7.521
Consumi privati - Italia (% a/a);202008;-7.521
Consumi privati - Italia (% a/a);202009;-7.521
Consumi privati - Italia (% a/a);202010;-9.764
Consumi privati - Italia (% a/a);202011;-9.764
Consumi privati - Italia (% a/a);202012;-9.764
Consumi privati - Italia (% a/a);202101;-3.671
Consumi privati - Italia (% a/a);202102;-3.671
Consumi privati - Italia (% a/a);202103;-3.671
Consumi privati - Italia (% a/a);202104;14.280
Consumi privati - Italia (% a/a);202105;14.280
Consumi privati - Italia (% a/a);202106;14.280
Consumi privati - Italia (% a/a);202107;4.126
Consumi privati - Italia (% a/a);202108;4.126
Consumi privati - Italia (% a/a);202109;4.126
Consumi privati - Italia (% a/a);202110;7.157
Consumi privati - Italia (% a/a);202111;7.157
Consumi privati - Italia (% a/a);202112;7.157
Consumi privati - Italia (% a/a);202201;7.123
Consumi privati - Italia (% a/a);202202;7.123
Consumi privati - Italia (% a/a);202203;7.123
Consumi privati - Italia (% a/a);202204;4.675
Consumi privati - Italia (% a/a);202205;4.675
Consumi privati - Italia (% a/a);202206;4.675
Consumi privati - Italia (% a/a);202207;2.324
Consumi privati - Italia (% a/a);202208;2.324
Consumi privati - Italia (% a/a);202209;2.324
Consumi privati - Italia (% a/a);202210;1.858
Consumi privati - Italia (% a/a);202211;1.858
Consumi privati - Italia (% a/a);202212;1.858
Consumi privati - Italia (% a/a);202301;2.884
Consumi privati - Italia (% a/a);202302;2.884
Consumi privati - Italia (% a/a);202303;2.884
Consumi privati - Italia (% a/a);202304;0.938
Consumi privati - Italia (% a/a);202305;0.938
Consumi privati - Italia (% a/a);202306;0.938
Consumi privati - Italia (% a/a);202307;-0.284
Consumi privati - Italia (% a/a);202308;-0.284
Consumi privati - Italia (% a/a);202309;-0.284
Consumi privati - Italia (% a/a);202310;0.351
Consumi privati - Italia (% a/a);202311;0.351
Consumi privati - Italia (% a/a);202312;0.351
Consumi privati - Italia (% a/a);202401;0.122
Consumi privati - Italia (% a/a);202402;0.122
Consumi privati - Italia (% a/a);202403;0.122
Consumi privati - Italia (% a/a);202404;-0.142
Consumi privati - Italia (% a/a);202405;-0.142
Consumi privati - Italia (% a/a);202406;-0.142
Consumi privati - Italia (% a/a);202407;0.409
Consumi privati - Italia (% a/a);202408;0.409
Consumi privati - Italia (% a/a);202409;0.409
Consumi privati - Italia (% a/a);202410;0.800
Consumi privati - Italia (% a/a);202411;0.820
Consumi privati - Italia (% a/a);202412;0.850
Consumi privati - Italia (% a/a);202501;0.870
Consumi privati - Italia (% a/a);202502;0.880
Consumi privati - Italia (% a/a);202503;0.900
Consumi privati - Italia (% a/a);202504;0.900
Consumi privati - Italia (% a/a);202505;0.900
Consumi privati - Italia (% a/a);202506;0.900
Consumi privati - Italia (% a/a);202507;0.920
Consumi privati - Italia (% a/a);202508;0.930
Consumi privati - Italia (% a/a);202509;0.950
Consumi privati - Italia (% t/t);202001;-7.160
Consumi privati - Italia (% t/t);202002;-7.160
Consumi privati - Italia (% t/t);202003;-7.160
Consumi privati - Italia (% t/t);202004;-11.491
Consumi privati - Italia (% t/t);202005;-11.491
Consumi privati - Italia (% t/t);202006;-11.491
Consumi privati - Italia (% t/t);202007;12.852
Consumi privati - Italia (% t/t);202008;12.852
Consumi privati - Italia (% t/t);202009;12.852
Consumi privati - Italia (% t/t);202010;-2.693
Consumi privati - Italia (% t/t);202011;-2.693
Consumi privati - Italia (% t/t);202012;-2.693
Consumi privati - Italia (% t/t);202101;-0.891
Consumi privati - Italia (% t/t);202102;-0.891
Consumi privati - Italia (% t/t);202103;-0.891
Consumi privati - Italia (% t/t);202104;5.003
Consumi privati - Italia (% t/t);202105;5.003
Consumi privati - Italia (% t/t);202106;5.003
Consumi privati - Italia (% t/t);202107;2.825
Consumi privati - Italia (% t/t);202108;2.825
Consumi privati - Italia (% t/t);202109;2.825
Consumi privati - Italia (% t/t);202110;0.139
Consumi privati - Italia (% t/t);202111;0.139
Consumi privati - Italia (% t/t);202112;0.139
Consumi privati - Italia (% t/t);202201;-0.922
Consumi privati - Italia (% t/t);202202;-0.922
Consumi privati - Italia (% t/t);202203;-0.922
Consumi privati - Italia (% t/t);202204;2.604
Consumi privati - Italia (% t/t);202205;2.604
Consumi privati - Italia (% t/t);202206;2.604
Consumi privati - Italia (% t/t);202207;0.516
Consumi privati - Italia (% t/t);202208;0.516
Consumi privati - Italia (% t/t);202209;0.516
Consumi privati - Italia (% t/t);202210;-0.317
Consumi privati - Italia (% t/t);202211;-0.317
Consumi privati - Italia (% t/t);202212;-0.317
Consumi privati - Italia (% t/t);202301;0.421
Consumi privati - Italia (% t/t);202302;0.421
Consumi privati - Italia (% t/t);202303;0.421
Consumi privati - Italia (% t/t);202304;0.834
Consumi privati - Italia (% t/t);202305;0.834
Consumi privati - Italia (% t/t);202306;0.834
Consumi privati - Italia (% t/t);202307;0.839
Consumi privati - Italia (% t/t);202308;0.839
Consumi privati - Italia (% t/t);202309;0.839
Consumi privati - Italia (% t/t);202310;-1.722
Consumi privati - Italia (% t/t);202311;-1.722
Consumi privati - Italia (% t/t);202312;-1.722
Consumi privati - Italia (% t/t);202401;0.192
Consumi privati - Italia (% t/t);202402;0.192
Consumi privati - Italia (% t/t);202403;0.192
Consumi privati - Italia (% t/t);202404;0.568
Consumi privati - Italia (% t/t);202405;0.568
Consumi privati - Italia (% t/t);202406;0.568
Consumi privati - Italia (% t/t);202407;1.395
Consumi privati - Italia (% t/t);202408;1.395
Consumi privati - Italia (% t/t);202409;1.395
Consumi privati - Italia (% t/t);202410;1.320
Consumi privati - Italia (% t/t);202411;1.250
Consumi privati - Italia (% t/t);202412;1.180
Consumi privati - Italia (% t/t);202501;0.950
Consumi privati - Italia (% t/t);202502;0.720
Consumi privati - Italia (% t/t);202503;0.550
Consumi privati - Italia (% t/t);202504;0.420
Consumi privati - Italia (% t/t);202505;0.350
Consumi privati - Italia (% t/t);202506;0.300
Consumi privati - Italia (% t/t);202507;0.280
Consumi privati - Italia (% t/t);202508;0.270
Consumi privati - Italia (% t/t);202509;0.250
Consumi privati - Italia (livello);202001;242585.100
Consumi privati - Italia (livello);202002;242585.100
Consumi privati - Italia (livello);202003;242585.100
Consumi privati - Italia (livello);202004;214710.800
Consumi privati - Italia (livello);202005;214710.800
Consumi privati - Italia (livello);202006;214710.800
Consumi privati - Italia (livello);202007;242305.300
Consumi privati - Italia (livello);202008;242305.300
Consumi privati - Italia (livello);202009;242305.300
Consumi privati - Italia (livello);202010;235780.400
Consumi privati - Italia (livello);202011;235780.400
Consumi privati - Italia (livello);202012;235780.400
Consumi privati - Italia (livello);202101;233679.700
Consumi privati - Italia (livello);202102;233679.700
Consumi privati - Italia (livello);202103;233679.700
Consumi privati - Italia (livello);202104;245371.100
Consumi privati - Italia (livello);202105;245371.100
Consumi privati - Italia (livello);202106;245371.100
Consumi privati - Italia (livello);202107;252303.800
Consumi privati - Italia (livello);202108;252303.800
Consumi privati - Italia (livello);202109;252303.800
Consumi privati - Italia (livello);202110;252654.900
Consumi privati - Italia (livello);202111;252654.900
Consumi privati - Italia (livello);202112;252654.900
Consumi privati - Italia (livello);202201;250325.000
Consumi privati - Italia (livello);202202;250325.000
Consumi privati - Italia (livello);202203;250325.000
Consumi privati - Italia (livello);202204;256842.300
Consumi privati - Italia (livello);202205;256842.300
Consumi privati - Italia (livello);202206;256842.300
Consumi privati - Italia (livello);202207;258168.510
Consumi privati - Italia (livello);202208;258168.510
Consumi privati - Italia (livello);202209;258168.510
Consumi privati - Italia (livello);202210;257349.966
Consumi privati - Italia (livello);202211;257349.966
Consumi privati - Italia (livello);202212;257349.966
Consumi privati - Italia (livello);202301;266895.500
Consumi privati - Italia (livello);202302;266895.500
Consumi privati - Italia (livello);202303;266895.500
Consumi privati - Italia (livello);202304;269121.400
Consumi privati - Italia (livello);202305;269121.400
Consumi privati - Italia (livello);202306;269121.400
Consumi privati - Italia (livello);202307;271380.000
Consumi privati - Italia (livello);202308;271380.000
Consumi privati - Italia (livello);202309;271380.000
Consumi privati - Italia (livello);202310;266707.600
Consumi privati - Italia (livello);202311;266707.600
Consumi privati - Italia (livello);202312;266707.600
Consumi privati - Italia (livello);202401;267220.600
Consumi privati - Italia (livello);202402;267220.600
Consumi privati - Italia (livello);202403;267220.600
Consumi privati - Italia (livello);202404;268739.700
Consumi privati - Italia (livello);202405;268739.700
Consumi privati - Italia (livello);202406;268739.700
Consumi privati - Italia (livello);202407;272488.700
Consumi privati - Italia (livello);202408;272488.700
Consumi privati - Italia (livello);202409;272488.700
Consumi privati - Italia (livello);202410;295000.000
Consumi privati - Italia (livello);202411;295500.000
Consumi privati - Italia (livello);202412;296000.000
Consumi privati - Italia (livello);202501;296300.000
Consumi privati - Italia (livello);202502;296700.000
Consumi privati - Italia (livello);202503;297000.000
Consumi privati - Italia (livello);202504;297300.000
Consumi privati - Italia (livello);202505;297700.000
Consumi privati - Italia (livello);202506;298000.000
Consumi privati - Italia (livello);202507;298300.000
Consumi privati - Italia (livello);202508;298700.000
Consumi privati - Italia (livello);202509;299000.000
Euribor 3M;202001;-0.406
Euribor 3M;202002;-0.406
Euribor 3M;202003;-0.406
Euribor 3M;202004;-0.301
Euribor 3M;202005;-0.301
Euribor 3M;202006;-0.301
Euribor 3M;202007;-0.472
Euribor 3M;202008;-0.472
Euribor 3M;202009;-0.472
Euribor 3M;202010;-0.523
Euribor 3M;202011;-0.523
Euribor 3M;202012;-0.523
Euribor 3M;202101;-0.542
Euribor 3M;202102;-0.542
Euribor 3M;202103;-0.542
Euribor 3M;202104;-0.540
Euribor 3M;202105;-0.540
Euribor 3M;202106;-0.540
Euribor 3M;202107;-0.546
Euribor 3M;202108;-0.546
Euribor 3M;202109;-0.546
Euribor 3M;202110;-0.566
Euribor 3M;202111;-0.566
Euribor 3M;202112;-0.566
Euribor 3M;202201;-0.529
Euribor 3M;202202;-0.529
Euribor 3M;202203;-0.529
Euribor 3M;202204;-0.358
Euribor 3M;202205;-0.358
Euribor 3M;202206;-0.358
Euribor 3M;202207;0.477
Euribor 3M;202208;0.477
Euribor 3M;202209;0.477
Euribor 3M;202210;1.850
Euribor 3M;202211;1.850
Euribor 3M;202212;1.850
Euribor 3M;202301;2.345
Euribor 3M;202302;2.640
Euribor 3M;202303;2.911
Euribor 3M;202304;3.179
Euribor 3M;202305;3.372
Euribor 3M;202306;3.536
Euribor 3M;202307;3.672
Euribor 3M;202308;3.780
Euribor 3M;202309;3.880
Euribor 3M;202310;3.968
Euribor 3M;202311;3.972
Euribor 3M;202312;3.935
Euribor 3M;202401;3.925
Euribor 3M;202402;3.923
Euribor 3M;202403;3.923
Euribor 3M;202404;3.885
Euribor 3M;202405;3.813
Euribor 3M;202406;3.725
Euribor 3M;202407;3.685
Euribor 3M;202408;3.548
Euribor 3M;202409;3.434
Euribor 3M;202410;3.167
Euribor 3M;202411;3.007
Euribor 3M;202412;2.825
Euribor 3M;202501;2.710
Euribor 3M;202502;2.530
Euribor 3M;202503;2.440
Euribor 3M;202504;2.250
Euribor 3M;202505;2.090
Euribor 3M;202506;1.980
Euribor 3M;202507;1.990
Euribor 3M;202508;2.020
Euribor 3M;202509;2.030
Eurostoxx 50;202001;2786.900
Eurostoxx 50;202002;2786.900
Eurostoxx 50;202003;2786.900
