MONTH;ECO_COD;VALUE
Gen.20;2455000000490;-405.77665700951013
Gen.20;24A0000000017;-6892.549991911278
Gen.20;245C000000640;-1120.4707081604904
Gen.20;245H000000490;-1863.99
Gen.20;245F000000611;18739.879801026233
Gen.20;245F000000634;-22321.53
Gen.20;24JM000000039;-12832.006964225324
Gen.20;245A000000493;-1462.6474773781401
Gen.20;2488000000640;-3288.312032258889
Gen.20;245B000000491;507.86442405286925
Gen.20;245B000000636;-48.8
Gen.20;245E000000490;-27201.85929781566
Gen.20;2488000000611;-20083.02932755687
Gen.20;245B000000640;1570.2863016869044
Gen.20;245C000000490;-3092.45
Gen.20;2488000000544;-32652.58
Gen.20;245B000000490;-10025.23
Gen.20;24JM000000500;12078.16
Gen.20;245A000000490;-4440.8
Gen.20;245F000000640;-12295.849821428954
Gen.20;24JM000000490;-12078.17
Gen.20;24A4000000010;-442.86
Gen.20;245F000002930;57.59659045507033
Gen.20;245B000000611;6484.34
Gen.20;245A000000492;5998.791011076808
Gen.20;2488000002930;-1596.818083669993
Gen.20;245D000000640;-636.59
Gen.20;24JM000000050;956.6404372831876
Gen.20;245A000000491;-4261.05
Feb.20;2488000000611;-13257.31501271685
Feb.20;245E000000490;-26753.652135817265
Feb.20;245A000000493;-2085.057039154873
Feb.20;2488000000544;-29452.05
Feb.20;245B000000640;-141.56574467851442
Feb.20;245F000000640;-9800.545171191025
Feb.20;2488000000640;-3200.381627220635
Feb.20;245B000000636;-98.8
Feb.20;245C000000490;-1657.58
Feb.20;245B000000611;869.466358867291
Feb.20;245B000000490;-9260.7
Feb.20;2488000002930;-1478.8496682838156
Feb.20;24JM000000490;-19498.36
Feb.20;24JM000000039;37361.38127718691
Feb.20;245A000000490;-4440.8
Feb.20;2455000000490;-482.64883642082384
Feb.20;245B000000491;300.26222911477726
Feb.20;245A000000491;-3986.15
Feb.20;245C000000640;-1113.157970091891
Feb.20;245D000000640;-553.2218132159073
Feb.20;245F000002930;-934.5267372524377
Feb.20;24JM000000500;21762.36
Feb.20;245A000000492;4386.93521075717
Feb.20;245F000000634;-45598.76
Feb.20;245H000000490;-1743.73
Feb.20;24A4000000010;-414.29
Feb.20;24A0000000017;-6667.415383465193
Feb.20;245F000000611;11216.589347163947
Feb.20;24JM000000050;1216.1368554299206
Mar.20;2488000000544;-31719.75
Mar.20;245B000000640;-397.3875608315556
Mar.20;24A4000000010;-442.86
Mar.20;245F000000640;-7216.944415540438
Mar.20;24JM000000050;1483.9233526610801
Mar.20;245C000000490;-3404.18
Mar.20;245E000000490;-25414.670173893534
Mar.20;245A000000493;5490.0
Mar.20;24JM000000039;-5011.298279404749
Mar.20;245A000000492;2721.4184540685565
Mar.20;245A000000491;-6133.218055100836
Mar.20;245C000000640;-1105.5864340405642
Mar.20;24JM000000490;-38346.74
Mar.20;245F000002930;-1940.5947449900286
Mar.20;245H000000490;-1863.99
Mar.20;245D000000640;-306.42
Mar.20;245B000000611;498.4980508448699
Mar.20;245B000000636;-48.8
Mar.20;245B000000490;-10208.79
Mar.20;2488000000640;-3109.339362953893
Mar.20;245F000000611;8834.183126119075
Mar.20;245F000000634;-357704.8
Mar.20;245B000000491;-505.407863355249
Mar.20;2488000002930;-1356.7203907899145
Mar.20;2488000000611;-8018.990151001193
Mar.20;24A0000000017;-6450.44815094182
Mar.20;2455000000490;-561.0452579454206
Mar.20;24JM000000500;38346.73
Mar.20;245A000000490;-4440.8
Apr.20;24JM000000039;27997.713767932284
Apr.20;245F000000634;-123066.83
Apr.20;24A0000000017;-6250.247870829406
Apr.20;245F000000611;9071.840254122995
Apr.20;245H000000490;-1803.86
Apr.20;245A000000490;-4440.8
Apr.20;245B000000491;-1212.0490560629087
Apr.20;245A000000492;1178.6705885815445
Apr.20;24JM000000490;-3108.56
Apr.20;2488000000640;-3025.2054265892084
Apr.20;245A000000491;-6533.99511241224
Apr.20;245B000000611;158.42527965873086
Apr.20;24JM000000050;1732.0333960206715
Apr.20;245F000002930;-2871.8711795184972
Apr.20;2488000002930;-1243.8502528403085
Apr.20;2455000000490;-634.1794178810298
Apr.20;245C000000640;-1098.58942954539
Apr.20;245A000000493;-3344.0697376326943
Apr.20;245B000000640;-472.4645578528798
Apr.20;24A4000000010;-329.67
Apr.20;245C000000490;-2674.4
Apr.20;245F000000640;-4829.391340252872
Apr.20;245B000000636;-166.06361595690157
Apr.20;2488000000544;-35525.23
Apr.20;24JM000000500;3108.56
Apr.20;245E000000490;-24213.139463992393
Apr.20;2488000000611;-4030.477785961535
Apr.20;245D000000640;-74.54
Apr.20;245B000000490;-2028.2
Mag.20;245A000000493;-3977.146080406004
Mag.20;245B000000491;-1969.585218379983
Mag.20;24JM000000500;6939.21
Mag.20;2488000000640;-2935.3799669056666
Mag.20;2488000000544;-55366.19
Mag.20;245B000000640;-529.5873445901995
Mag.20;245B000000611;-210.29541510277352
Mag.20;24JM000000050;418.0
Mag.20;245F000002930;-3866.003008955485
Mag.20;2488000002930;-1123.350089843522
Mag.20;2455000000490;-711.7991711202649
Mag.20;24A4000000010;-340.66
Mag.20;245D000000640;-1416.9104028703803
Mag.20;245A000000491;-6721.603073701822
Mag.20;24JM000000490;-7357.21
Mag.20;245B000000490;-13330.4
Mag.20;2488000000611;-669.0428045589852
Mag.20;245C000000490;-6704.21
Mag.20;245F000000640;-2280.3251330898293
Mag.20;245A000000492;-462.7838367142849
Mag.20;245C000000640;-1091.1190891293359
Mag.20;24A0000000017;-6036.5117946617875
Mag.20;245E000000490;-22928.447468465623
Mag.20;245F000000611;11478.274087759091
Mag.20;245A000000490;-4440.8
Mag.20;245F000000634;-200545.64
Mag.20;245B000000636;-48.8
Mag.20;24JM000000039;-347.66484350956307
Mag.20;245H000000490;-1863.99
Giu.20;245F000002930;-13606.0
Giu.20;245B000000490;-97209.46
Giu.20;24A0000000017;-5863.644782514037
Giu.20;24A4000000010;-329.67
Giu.20;24JM000000050;2271.0537169956506
Giu.20;245B000000640;-573.7607910595908
Giu.20;245C000000490;-6004.9
Giu.20;2488000000544;-29490.3
Giu.20;245B000000611;-498.95359316409736
Giu.20;2488000000640;-2862.730231252536
Giu.20;245B000000636;-244.0
Giu.20;2488000000611;1840.712807074291
Giu.20;245B000000491;-2422.85
Giu.20;245C000000640;-1085.0771689612984
Giu.20;245A000000493;-4528.408804922177
Giu.20;245A000000492;-1799.6437842571186
Giu.20;24JM000000039;21361.21743063109
Giu.20;245H000000490;-1803.86
Giu.20;2488000002930;-1025.8881783452473
Giu.20;245A000000490;-4440.8
Giu.20;245D000000640;-148.71
Giu.20;245F000000634;-202936.3
Giu.20;245F000000611;1239.68
Giu.20;245E000000490;-21889.470153426977
Giu.20;24JM000000500;12823.95
Giu.20;245A000000491;-6807.107607561161
Giu.20;24JM000000490;-12450.92
Giu.20;245F000000640;-218.67165810332335
Giu.20;2455000000490;-774.8175448037408
Lug.20;245A000000492;-3524.909116796124
Lug.20;245H000000490;-1843.73
Lug.20;245A000000490;-6268.49
Lug.20;24A4000000010;-235.87
Lug.20;245B000000640;-630.9039522621974
Lug.20;24JM000000050;2508.8737996129735
Lug.20;2488000002930;-898.8819790961654
