ECO_COD;ECO_DSC;ECO_GRP_0;ECO_GRP_1;ECO_GRP_2
2455000000490;PARCELLE LEGALI - NOTARILI - FISCALI;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE ALTRE;
245A000000490;PARCELLE FISCALI NO CAUSE NO OPERAZ SOCIETARIE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE FISCALI;
245A000000491;PARCELLE FISCALI CONTENZIOSI FISCALI;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE FISCALI;
245A000000492;PARCELLE FISCALI OPERAZIONI STRAORDINARIE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE FISCALI;
245A000000493;UTILIZZO FONDO PER SPESE LEGALI E CONTENZIOSI FISCALI;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE FISCALI;
245B000000490;PARCELLE LEGALI CAUSE PASSIVE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000000491;PARCELLE LEGALI ASSISTENZA PENALE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000000502;UTILIZZO FONDO ONERI PER MANLEVA MANCATO RISPETTO DEL PATTO DI NON CONCORRENZA - PARCELLE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000000591;RECUPERO SPESE LEGALI A SEGUITO SENTENZE O TRANSAZIONI;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000000611;PARCELLE LEGALI CAUSE PASSIVE - SOPRAVV. ATT. ESERCIZI PRECEDENTI;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000000636;SPESE PER CONCILIAZIONE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000000640;PARCELLE - LEGALI CAUSE PASSIVE - DIFFERENZE STIMA BILANCIO ANNO PREC;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000001640;DIFFERENZE ANNI PRECEDENTI SPESE PER CONCILIAZIONE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245B000002930;PARCELLE LEGALI CAUSE PASSIVE - SOPRAVV. PASS. ESERCIZI PRECEDENTI;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE LEGALI CAUSE PASSIVE;
245C000000490;PARCELLE NOTARILI NO CAUSE NO OPERAZ SOCIETARIE;PARCELLE LEGALI, FISCALI, NOTARILI;PARCELLE NOTARILI;
