ECO_GRP_0;ECO_GRP_1;DRV_COD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Accantonato del mese nuovi oneri
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Costo Medio Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Costo parcelle su importo complessivo domanda
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Oneri cause passive e rischio operativo
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Importo complessivo di domanda cause pendenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Intervento consulenti esterni gestione atti liti fiscali
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Numero Cause
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Oneri spese legali al netto degli accantomenti
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;€STR
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Brent
