DRV_COD;MONTH;VALUE
10Y ITA;202001;1.248.666.667
10Y ITA;202002;1.248.666.667
10Y ITA;202003;1.248.666.667
10Y ITA;202004;1.616.666.667
10Y ITA;202005;1.616.666.667
10Y ITA;202006;1.616.666.667
10Y ITA;202007;1.017.333.333
10Y ITA;202008;1.017.333.333
10Y ITA;202009;1.017.333.333
10Y ITA;202010;0.657666667
10Y ITA;202011;0.657666667
10Y ITA;202012;0.657666667
10Y ITA;202101;0.622
10Y ITA;202102;0.622
10Y ITA;202103;0.622
10Y ITA;202104;0.862666667
10Y ITA;202105;0.862666667
10Y ITA;202106;0.862666667
10Y ITA;202107;0.669
10Y ITA;202108;0.669
10Y ITA;202109;0.669
10Y ITA;202110;0.969333333
10Y ITA;202111;0.969333333
10Y ITA;202112;0.969333333
10Y ITA;202201;1.646.666.667
10Y ITA;202202;1.646.666.667
10Y ITA;202203;1.646.666.667
10Y ITA;202204;2.987
10Y ITA;202205;2.987
10Y ITA;202206;2.987
10Y ITA;202207;3.546
10Y ITA;202208;3.546
10Y ITA;202209;3.546
10Y ITA;202210;4.3
10Y ITA;202211;4.3
10Y ITA;202212;4.3
10Y ITA;202301;4.09
10Y ITA;202302;4.271
10Y ITA;202303;4.246
10Y ITA;202304;4.211
10Y ITA;202305;4.223
10Y ITA;202306;4.076
10Y ITA;202307;4.163
10Y ITA;202308;4.235
10Y ITA;202309;4.494
10Y ITA;202310;4.833
10Y ITA;202311;4.425
10Y ITA;202312;3.801
10Y ITA;202401;3.811
10Y ITA;202402;3.875
10Y ITA;202403;3.674
10Y ITA;202404;3.866
10Y ITA;202405;3.845
10Y ITA;202406;3.945
10Y ITA;202407;3.821
10Y ITA;202408;3.631
10Y ITA;202409;3.56
10Y ITA;202410;3.505
10Y ITA;202411;3.56
10Y ITA;202412;3.801
10Y ITA;202501;3.811
10Y ITA;202502;3.875
10Y ITA;202503;3.674
10Y ITA;202504;3.866
10Y ITA;202505;3.845
10Y ITA;202506;3.945
10Y ITA;202507;3.821
10Y ITA;202508;3.631
10Y ITA;202509;3.56
10Y USA;202001;13.843
10Y USA;202002;13.843
10Y USA;202003;13.843
10Y USA;202004;0.6813
10Y USA;202005;0.6813
10Y USA;202006;0.6813
10Y USA;202007;0.6453
10Y USA;202008;0.6453
10Y USA;202009;0.6453
10Y USA;202010;0.8559
10Y USA;202011;0.8559
10Y USA;202012;0.8559
10Y USA;202101;13.122
10Y USA;202102;13.122
10Y USA;202103;13.122
10Y USA;202104;1.58
10Y USA;202105;1.58
10Y USA;202106;1.58
10Y USA;202107;13.177
10Y USA;202108;13.177
10Y USA;202109;13.177
10Y USA;202110;15.288
10Y USA;202111;15.288
10Y USA;202112;15.288
10Y USA;202201;19.459
10Y USA;202202;19.459
10Y USA;202203;19.459
10Y USA;202204;29.246
10Y USA;202205;29.246
10Y USA;202206;29.246
10Y USA;202207;3.05
10Y USA;202208;3.05
10Y USA;202209;3.05
10Y USA;202210;3.45
10Y USA;202211;3.45
10Y USA;202212;3.45
10Y USA;202301;36.477
10Y USA;202302;36.477
10Y USA;202303;36.477
10Y USA;202304;35.948
10Y USA;202305;35.948
10Y USA;202306;35.948
10Y USA;202307;4.14
10Y USA;202308;4.14
10Y USA;202309;4.14
10Y USA;202310;44.388
10Y USA;202311;44.388
10Y USA;202312;44.388
10Y USA;202401;41.456
10Y USA;202402;41.456
10Y USA;202403;41.456
10Y USA;202404;44.446
10Y USA;202405;44.446
10Y USA;202406;44.446
10Y USA;202407;39.547
10Y USA;202408;39.547
10Y USA;202409;39.547
10Y USA;202410;4.021
10Y USA;202411;3.924
10Y USA;202412;3.854
10Y USA;202501;3.75
10Y USA;202502;3.68
10Y USA;202503;3.62
10Y USA;202504;3.55
10Y USA;202505;3.5
10Y USA;202506;3.45
10Y USA;202507;3.42
10Y USA;202508;3.4
10Y USA;202509;3.38
€STR;202001;-0.5366
€STR;202002;-0.5366
€STR;202003;-0.5366
€STR;202004;-0.541366667
€STR;202005;-0.541366667
€STR;202006;-0.541366667
€STR;202007;-0.5522
€STR;202008;-0.5522
€STR;202009;-0.5522
€STR;202010;-0.556066667
€STR;202011;-0.556066667
€STR;202012;-0.556066667
€STR;202101;-0.563833333
€STR;202102;-0.563833333
€STR;202103;-0.563833333
€STR;202104;-0.565033333
€STR;202105;-0.565033333
€STR;202106;-0.565033333
€STR;202107;-0.568033333
€STR;202108;-0.568033333
€STR;202109;-0.568033333
€STR;202110;-0.5736
€STR;202111;-0.5736
€STR;202112;-0.5736
€STR;202201;-0.5777
€STR;202202;-0.5777
€STR;202203;-0.5777
€STR;202204;-0.583566667
€STR;202205;-0.583566667
€STR;202206;-0.583566667
€STR;202207;0.034866667
€STR;202208;0.034866667
€STR;202209;0.034866667
€STR;202210;1.616.666.667
€STR;202211;1.616.666.667
€STR;202212;1.616.666.667
€STR;202301;19.019
€STR;202302;22.745
€STR;202303;25.721
€STR;202304;28.998
€STR;202305;30.796
€STR;202306;3.238
€STR;202307;34.022
€STR;202308;36.419
€STR;202309;37.466
€STR;202310;39.007
€STR;202311;39.017
€STR;202312;39.015
€STR;202401;3.904
€STR;202402;39.071
€STR;202403;39.066
€STR;202404;39.077
€STR;202405;39.069
€STR;202406;37.494
€STR;202407;36.626
€STR;202408;36.634
€STR;202409;35.565
€STR;202410;33.375
