MONTH;DRV_COD;VALUE
Gen.20;Numero Cause;6.00
Feb.20;Numero Cause;6.00
Mar.20;Numero Cause;8.00
Apr.20;Numero Cause;2.00
Mag.20;Numero Cause;5.00
Giu.20;Numero Cause;3.00
Lug.20;Numero Cause;2.00
Set.20;Numero Cause;5.00
Ott.20;Numero Cause;3.00
Nov.20;Numero Cause;2.00
Dic.20;Numero Cause;6.00
Gen.21;Numero Cause;4.00
Feb.21;Numero Cause;5.00
Mar.21;Numero Cause;3.00
Apr.21;Numero Cause;5.00
Mag.21;Numero Cause;1.00
Giu.21;Numero Cause;2.00
Lug.21;Numero Cause;5.00
Ago.21;Numero Cause;5.00
Set.21;Numero Cause;4.00
Ott.21;Numero Cause;2.00
Nov.21;Numero Cause;8.00
Gen.22;Numero Cause;3.00
Feb.22;Numero Cause;7.00
Mar.22;Numero Cause;7.00
Apr.22;Numero Cause;5.00
Mag.22;Numero Cause;4.00
Giu.22;Numero Cause;4.00
Ago.22;Numero Cause;3.00
Set.22;Numero Cause;2.00
Ott.22;Numero Cause;5.00
Nov.22;Numero Cause;1.00
Dic.22;Numero Cause;2.00
Gen.23;Numero Cause;1.00
Feb.23;Numero Cause;4.00
Mar.23;Numero Cause;3.00
Apr.23;Numero Cause;4.00
Mag.23;Numero Cause;2.00
Giu.23;Numero Cause;6.00
Lug.23;Numero Cause;3.00
Gen.20;Costo Totale;3589.70
Feb.20;Costo Totale;21467.82
Mar.20;Costo Totale;10257.60
Apr.20;Costo Totale;2028.20
Mag.20;Costo Totale;13379.20
Giu.20;Costo Totale;99503.28
Lug.20;Costo Totale;31597.90
Ago.20;Costo Totale;29992.26
Set.20;Costo Totale;44311.37
Ott.20;Costo Totale;10190.65
Nov.20;Costo Totale;31230.77
Dic.20;Costo Totale;62620.53
Gen.21;Costo Totale;10830.08
Feb.21;Costo Totale;3871.75
Mar.21;Costo Totale;80521.82
Apr.21;Costo Totale;359.83
Mag.21;Costo Totale;289953.64
Giu.21;Costo Totale;55586.18
Lug.21;Costo Totale;43175.46
Set.21;Costo Totale;60030.20
Ott.21;Costo Totale;25696.84
Nov.21;Costo Totale;66706.58
Dic.21;Costo Totale;84422.65
Gen.22;Costo Totale;9219.20
Feb.22;Costo Totale;40248.70
Mar.22;Costo Totale;58108.74
Apr.22;Costo Totale;33713.72
Mag.22;Costo Totale;8898.23
Giu.22;Costo Totale;136324.74
Lug.22;Costo Totale;12610.83
Ago.22;Costo Totale;34012.75
Set.22;Costo Totale;93819.98
Ott.22;Costo Totale;27209.50
Nov.22;Costo Totale;106850.37
Dic.22;Costo Totale;88643.60
Gen.23;Costo Totale;9885.88
Feb.23;Costo Totale;24065.90
Mar.23;Costo Totale;136539.69
Apr.23;Costo Totale;26562.20
Mag.23;Costo Totale;55986.70
Giu.23;Costo Totale;47551.82
Lug.23;Costo Totale;87986.88
Ago.23;Costo Totale;9225.55
Set.23;Costo Totale;210800.55
Ott.23;Costo Totale;2808.35
Nov.23;Costo Totale;26966.93
Dic.23;Costo Totale;70145.31
Gen.24;Costo Totale;9045.55
Feb.24;Costo Totale;5967.34
Mar.24;Costo Totale;16020.56
Apr.24;Costo Totale;8868.58
Mag.24;Costo Totale;7312.50
Giu.24;Costo Totale;78801.78
Lug.24;Costo Totale;10022.02
Ago.24;Costo Totale;17817.77
Set.24;Costo Totale;60867.57
Ott.24;Costo Totale;5690.75
Nov.24;Costo Totale;120086.86
Dic.24;Costo Totale;58046.10
Gen.25;Costo Totale;7182.44
Feb.25;Costo Totale;30873.66
Mar.25;Costo Totale;28878.82
Apr.25;Costo Totale;18675.74
Mag.25;Costo Totale;122497.27
Giu.25;Costo Totale;82571.39
Lug.25;Costo Totale;36270.48
Ago.25;Costo Totale;6825.85
Set.25;Costo Totale;79569.80
Ott.25;Costo Totale;72877.63
Gen.20;Costo Medio Cause;598.28
Feb.20;Costo Medio Cause;3577.97
Mar.20;Costo Medio Cause;1282.20
Apr.20;Costo Medio Cause;1014.10
Mag.20;Costo Medio Cause;2675.84
Giu.20;Costo Medio Cause;33167.76
Lug.20;Costo Medio Cause;15798.95
Ago.20;Costo Medio Cause;29992.26
Set.20;Costo Medio Cause;8862.27
Ott.20;Costo Medio Cause;3396.88
Nov.20;Costo Medio Cause;15615.38
Dic.20;Costo Medio Cause;10436.75
Gen.21;Costo Medio Cause;2707.52
Feb.21;Costo Medio Cause;774.35
Mar.21;Costo Medio Cause;26840.61
Apr.21;Costo Medio Cause;71.97
Mag.21;Costo Medio Cause;289953.64
Giu.21;Costo Medio Cause;27793.09
Lug.21;Costo Medio Cause;8635.09
Set.21;Costo Medio Cause;15007.55
Ott.21;Costo Medio Cause;12848.42
Nov.21;Costo Medio Cause;8338.32
Dic.21;Costo Medio Cause;84422.65
Gen.22;Costo Medio Cause;3073.07
Feb.22;Costo Medio Cause;5749.81
Mar.22;Costo Medio Cause;8301.25
Apr.22;Costo Medio Cause;6742.74
Mag.22;Costo Medio Cause;2224.56
Giu.22;Costo Medio Cause;34081.19
Lug.22;Costo Medio Cause;12610.83
Ago.22;Costo Medio Cause;11337.58
Set.22;Costo Medio Cause;46909.99
Ott.22;Costo Medio Cause;5441.90
Nov.22;Costo Medio Cause;106850.37
Dic.22;Costo Medio Cause;44321.80
Gen.23;Costo Medio Cause;9885.88
Feb.23;Costo Medio Cause;6016.47
Mar.23;Costo Medio Cause;45513.23
Apr.23;Costo Medio Cause;6640.55
Mag.23;Costo Medio Cause;27993.35
Giu.23;Costo Medio Cause;7925.30
Lug.23;Costo Medio Cause;29328.96
Ago.23;Costo Medio Cause;9225.55
Set.23;Costo Medio Cause;210800.55
Ott.23;Costo Medio Cause;2808.35
Nov.23;Costo Medio Cause;26966.93
Dic.23;Costo Medio Cause;70145.31
Gen.24;Costo Medio Cause;9045.55
Feb.24;Costo Medio Cause;5967.34
Mar.24;Costo Medio Cause;16020.56
Apr.24;Costo Medio Cause;8868.58
