MONTH;ECO_COD;VALUE
Gen.20;2488000000544;-32652.58
Gen.20;245F000000634;-22321.53
Gen.20;24JM000000490;-12078.17
Gen.20;245B000000490;-10025.23
Gen.20;245A000000490;-4440.80
Gen.20;245A000000491;-4261.05
Gen.20;245C000000490;-3092.45
Gen.20;245H000000490;-1863.99
Gen.20;245D000000640;-636.59
Gen.20;24A4000000010;-442.86
Gen.20;245B000000636;-48.80
Gen.20;245B000000611;6484.34
Gen.20;24JM000000500;12078.16
Feb.20;245F000000634;-45598.76
Feb.20;2488000000544;-29452.05
Feb.20;24JM000000490;-19498.36
Feb.20;245B000002930;-14372.33
Feb.20;245B000000490;-9260.70
Feb.20;245A000000490;-4440.80
Feb.20;245A000000491;-3986.15
Feb.20;245H000000490;-1743.73
Feb.20;245C000000490;-1657.58
Feb.20;24A4000000010;-414.29
Feb.20;245B000000636;-98.80
Feb.20;24JM000000500;21762.36
Mar.20;245F000000634;-357704.80
Mar.20;24JM000000490;-38346.74
Mar.20;2488000000544;-31719.75
Mar.20;245B000000490;-10208.79
Mar.20;245A000000490;-4440.80
Mar.20;245C000000490;-3404.18
Mar.20;245H000000490;-1863.99
Mar.20;24A4000000010;-442.86
Mar.20;245D000000640;-306.42
Mar.20;245B000000636;-48.80
Mar.20;245A000000493;5490.00
Mar.20;24JM000000500;38346.73
Apr.20;245F000000634;-123066.83
Apr.20;2488000000544;-35525.23
Apr.20;245A000000490;-4440.80
Apr.20;24JM000000490;-3108.56
Apr.20;245C000000490;-2674.40
Apr.20;245B000000490;-2028.20
Apr.20;245H000000490;-1803.86
Apr.20;24A4000000010;-329.67
Apr.20;245D000000640;-74.54
Apr.20;24JM000000500;3108.56
Mag.20;245F000000634;-200545.64
Mag.20;2488000000544;-55366.19
Mag.20;245B000000490;-13330.40
Mag.20;24JM000000490;-7357.21
Mag.20;245C000000490;-6704.21
Mag.20;245A000000490;-4440.80
Mag.20;245H000000490;-1863.99
Mag.20;24A4000000010;-340.66
Mag.20;245B000000636;-48.80
Mag.20;24JM000000050;418.00
Mag.20;24JM000000500;6939.21
Giu.20;245F000000634;-202936.30
Giu.20;245B000000490;-97209.46
Giu.20;2488000000544;-29490.30
Giu.20;245F000002930;-13606.00
Giu.20;24JM000000490;-12450.92
Giu.20;245C000000490;-6004.90
Giu.20;245A000000490;-4440.80
Giu.20;245B000000491;-2422.85
Giu.20;245H000000490;-1803.86
Giu.20;24A4000000010;-329.67
Giu.20;245B000000636;-244.00
Giu.20;245D000000640;-148.71
Giu.20;245F000000611;1239.68
Giu.20;24JM000000500;12823.95
Lug.20;245F000000634;-132934.37
Lug.20;245B000000490;-27832.22
Lug.20;24JM000000490;-24142.07
Lug.20;2488000000544;-15842.24
Lug.20;245E000000490;-10381.09
Lug.20;245A000000490;-6268.49
Lug.20;245C000000490;-3625.19
Lug.20;245H000000490;-1843.73
Lug.20;24A4000000010;-235.87
Lug.20;245F000002930;-164.70
Lug.20;245B000000636;-148.79
Lug.20;24JM000000500;20525.19
Ago.20;245F000000634;-29412.68
Ago.20;245E000000490;-27682.91
Ago.20;2488000000544;-24003.62
Ago.20;245B000000490;-23179.74
Ago.20;24JM000000490;-8712.60
Ago.20;245A000000490;-6268.49
Ago.20;245A000000492;-4270.00
Ago.20;245C000000490;-2058.27
Ago.20;245H000000490;-1843.73
Ago.20;245F000002930;-936.65
Ago.20;245B000000636;-812.52
Ago.20;24A4000000010;-235.87
Ago.20;24JM000000050;2712.60
Set.20;245F000000634;-183462.70
Set.20;2488000000544;-81243.49
Set.20;245B000000490;-45047.77
Set.20;24JM000000490;-17298.57
Set.20;245A000000490;-13293.65
Set.20;245A000000493;-5490.00
Set.20;245H000000490;-1784.25
Set.20;245D000000640;-463.60
Set.20;245F000002930;-308.57
Set.20;24A4000000010;-228.26
Set.20;245C000000490;-208.20
Set.20;245C000002930;-115.91
Set.20;245B000000636;-97.60
Set.20;24JM000000500;18132.57
Ott.20;245F000000634;-192995.77
Ott.20;2488000000544;-43648.74
Ott.20;245B000000490;-9653.85
Ott.20;245A000000492;-6496.26
Ott.20;245A000000490;-6340.49
Ott.20;245H000000490;-3446.97
Ott.20;24JM000000490;-2140.40
Ott.20;245C000000490;-1146.10
Ott.20;245B000000636;-536.80
Ott.20;24JM000000500;2140.40
Ott.20;24JM000000039;14743.46
Nov.20;245F000000634;-185807.08
Nov.20;2488000000544;-43253.97
Nov.20;245B000000490;-31181.97
Nov.20;245A000000490;-26914.44
Nov.20;245A000000492;-6344.00
Nov.20;24JM000000490;-5180.51
Nov.20;245H000000490;-4459.45
Nov.20;245C000000490;-1804.94
Nov.20;245F000002930;-1231.45
Nov.20;245E000000490;-183.00
Nov.20;245D000000640;-110.29
Nov.20;245B000000636;-48.80
Nov.20;24JM000000500;5180.51
Nov.20;24JM000000039;6344.00
Dic.20;245F000000634;-770862.57
Dic.20;245B000000490;-61076.98
Dic.20;2488000000544;-20536.46
Dic.20;245H000000490;-16310.67
Dic.20;24JM000000490;-14402.15
Dic.20;245A000000490;-13403.18
Dic.20;245F000002930;-11250.89
Dic.20;245A000000491;-8247.20
Dic.20;245C000000490;-7242.64
Dic.20;245B000000491;-1776.32
Dic.20;245E000000490;-244.00
Dic.20;245B000000636;-244.00
Dic.20;245B000000640;476.77
Dic.20;24JM000000500;14402.15
Dic.20;245F000000611;62123.60
Gen.21;24JM000000490;-83458.60
Gen.21;245F000000634;-26560.16
Gen.21;2488000000544;-16918.42
Gen.21;245A000000490;-6014.11
Gen.21;245H000000490;-3505.57
Gen.21;245B000000490;-2431.60
Gen.21;245B000000636;-1065.51
Gen.21;24A4000000010;-565.19
Gen.21;245C000000490;-393.40
Gen.21;245D000000640;-33.04
Gen.21;24JM000000500;76125.64
Feb.21;2488000000544;-33191.74
Feb.21;245F000000634;-30788.68
Feb.21;24JM000000490;-13998.01
Feb.21;245H000000490;-10049.55
Feb.21;245A000000490;-5861.86
Feb.21;245B000000490;-2873.74
Feb.21;245C000000490;-1727.76
Feb.21;245F000002930;-1649.84
Feb.21;24A4000000010;-510.50
Feb.21;245D000000640;-278.41
Feb.21;24JM000000500;13000.00
Mar.21;245F000000634;-216787.98
Mar.21;24JM000000490;-83062.31
Mar.21;245B000000490;-75225.49
Mar.21;2488000000544;-24146.93
Mar.21;245D000000640;-15677.00
Mar.21;245A000000490;-11460.19
Mar.21;245H000000490;-5535.65
Mar.21;245B000000491;-4164.17
Mar.21;245A000000491;-3330.60
Mar.21;245C000000490;-1179.57
Mar.21;245B000000611;-888.16
Mar.21;24A4000000010;-565.19
Mar.21;245B000000636;-244.00
Mar.21;245F000000611;54.67
Mar.21;24JM000000500;83062.31
Apr.21;245F000000634;-50016.19
Apr.21;2488000000544;-23741.32
Apr.21;245H000000490;-23482.92
Apr.21;24JM000000490;-8372.00
Apr.21;245A000000490;-4440.80
Apr.21;245A000000492;-4270.00
Apr.21;245F000002930;-2642.40
Apr.21;245C000000490;-2436.37
Apr.21;245B000000490;-2168.03
Apr.21;24A4000000010;-546.96
Apr.21;245B000000636;-48.80
Apr.21;24JM000000500;10229.00
Mag.21;245B000000490;-289573.94
Mag.21;24JM000000490;-144145.92
Mag.21;245F000000634;-142457.72
Mag.21;2488000000544;-30846.77
Mag.21;245A000000490;-6887.21
Mag.21;245C000000490;-4650.80
Mag.21;245H000000490;-3484.86
Mag.21;245F000002930;-1674.82
Mag.21;24A4000000010;-565.19
Mag.21;245B000000636;-315.33
Mag.21;245F000000611;1674.82
Mag.21;24JM000000050;3000.00
Mag.21;24JM000000500;141081.55
Giu.21;245F000000634;-399907.33
Giu.21;245B000000490;-49329.67
Giu.21;24JM000000490;-33081.52
Giu.21;245H000000490;-31095.72
Giu.21;2488000000544;-21306.74
Giu.21;245C000000490;-7844.36
Giu.21;245F000002930;-7676.62
Giu.21;245B000000491;-7330.11
Giu.21;245A000000490;-5344.03
Giu.21;245A000000491;-4758.00
Giu.21;24A4000000010;-743.68
Giu.21;245D000000640;-222.53
Giu.21;245B000000636;-146.40
Giu.21;24JM000000039;4758.00
Giu.21;245F000000611;5820.08
Giu.21;24JM000000500;34301.52
Lug.21;245F000000634;-95389.13
Lug.21;24JM000000490;-57147.10
Lug.21;245B000000490;-43633.86
Lug.21;2488000000544;-20219.55
Lug.21;245A000000490;-5557.35
Lug.21;245C000000490;-5090.28
Lug.21;245F000002930;-3749.35
Lug.21;245H000000490;-3464.60
Lug.21;245B000000636;-341.60
Lug.21;24A4000000010;-203.28
Lug.21;2488000000611;405.32
Lug.21;24JM000000500;57947.11
Ago.21;245F000000634;-71275.58
Ago.21;245A000000492;-6344.00
Ago.21;245A000000490;-5557.35
Ago.21;2488000000544;-3825.35
Ago.21;245H000000490;-3464.60
Ago.21;245F000002930;-2129.81
Ago.21;245C000000490;-1260.07
Ago.21;24A4000000010;-203.28
Ago.21;245F000000611;660.54
Set.21;245F000000634;-241521.09
Set.21;245B000000490;-60607.02
Set.21;245A000000490;-11482.64
Set.21;245C000000490;-7848.58
Set.21;245H000000490;-3352.83
Set.21;2488000000544;-3148.84
Set.21;245D000000640;-2975.42
Set.21;24JM000000490;-2934.44
Set.21;24A4000000010;-196.72
Set.21;245B000000636;-146.40
Set.21;24JM000000500;3657.66
Set.21;24JM000000039;6344.00
Ott.21;245F000000634;-255905.77
Ott.21;2488000000544;-61318.57
Ott.21;245B000000490;-25261.30
Ott.21;245E000000490;-17080.00
Ott.21;245A000000490;-9207.74
Ott.21;245C000000490;-3734.33
Ott.21;24JM000000490;-2359.97
Ott.21;245H000000490;-1843.73
Ott.21;245F000002930;-688.30
Ott.21;245B000000636;-435.54
Ott.21;245F000000611;688.29
Ott.21;24JM000000500;2359.97
Ott.21;24JM000000039;10000.00
Nov.21;245F000000634;-149982.02
Nov.21;245B000000490;-63161.44
Nov.21;24JM000000490;-51627.13
Nov.21;2488000000544;-38070.49
Nov.21;245H000000490;-17034.25
Nov.21;245A000000490;-8871.02
Nov.21;245A000000491;-7228.40
Nov.21;245C000000490;-1637.52
Nov.21;245B000000636;-195.20
Nov.21;24JM000000050;4000.00
Nov.21;24JM000000500;44277.18
Dic.21;245F000000634;-556891.28
Dic.21;245E000000490;-115290.00
Dic.21;245B000000490;-73403.77
Dic.21;24JM000000490;-20262.36
Dic.21;2488000000544;-20000.00
Dic.21;245A000000490;-8775.87
Dic.21;245D000000640;-6747.56
Dic.21;245A000000492;-6597.76
Dic.21;245F000002930;-5029.56
Dic.21;245C000000490;-4232.09
Dic.21;245H000000490;-1843.73
Dic.21;245B000000491;-1094.34
Dic.21;245B000000636;-411.75
Dic.21;245F000000611;2038.28
Dic.21;24JM000000039;3826.16
Dic.21;24JM000000500;10749.57
Gen.22;24JM000000490;-63778.09
Gen.22;2488000000544;-22828.58
Gen.22;245F000000634;-19922.76
Gen.22;245E000000490;-15372.00
Gen.22;245B000000490;-11903.60
Gen.22;245A000000490;-4440.80
Gen.22;245H000000490;-3303.03
Gen.22;245C000000490;-1206.09
Gen.22;24A4000000010;-688.89
Gen.22;24JM000000500;66462.49
Feb.22;24JM000000490;-65010.12
Feb.22;245B000000490;-40151.09
Feb.22;245F000000634;-23613.09
Feb.22;2488000000544;-21225.47
Feb.22;245A000000492;-7359.04
Feb.22;245C000000490;-6187.83
Feb.22;245A000000490;-4440.80
Feb.22;245D000000640;-4056.50
Feb.22;245H000000490;-2983.38
Feb.22;245F000002930;-672.31
Feb.22;24A4000000010;-622.22
Feb.22;245B000000636;-97.60
Feb.22;24JM000000039;7359.04
Feb.22;24JM000000500;65010.11
Mar.22;245F000000634;-191656.94
Mar.22;24JM000000490;-100080.94
Mar.22;245B000000490;-56840.22
Mar.22;2488000000544;-24472.67
Mar.22;245C000000490;-12033.62
Mar.22;245F000002930;-5822.66
Mar.22;245A000000490;-4440.80
Mar.22;245H000000490;-3303.03
Mar.22;245B000000491;-802.52
Mar.22;24A4000000010;-688.89
Mar.22;245B000000636;-246.40
Mar.22;245B000000640;-219.60
Mar.22;245F000000611;18851.84
Mar.22;24JM000000500;100080.94
Apr.22;245F000000634;-134339.33
Apr.22;245B000000490;-38664.92
Apr.22;2488000000544;-20566.53
Apr.22;245H000000490;-7977.37
Apr.22;245A000000491;-6344.00
Apr.22;245A000000490;-6339.07
Apr.22;245C000000490;-5479.39
Apr.22;24JM000000490;-1268.80
Apr.22;245F000002930;-855.11
